Tên trang sức	Loại hình chính	Loại hình phụ	Phân loại chi tiết	Nặng	Giá	Ngũ hành	Độ bền	Phòng ngự (Nội, ngoại)	Thuộc tính hỗ trợ 1	Trị số Thuộc tính hỗ trợ 1	Thuộc tính hỗ trợ 2	Trị số Thuộc tính hỗ trợ 2	Số trang bị	Đắng cấp yêu cầu	Giới tính yêu cầu	Thể hình yêu cầu	Môn phái yêu cầu	Hiện hình nhỏ trên giao diện	Hiện hình lớn trên giao diện	Thuyết minh	ì°±áễÚẫớẫẽàÄấ±ºũÊơấạểÃàÄẽễấắÀàéÍÃỷìệ	Khi vứt ra ngoài sẽ hiển thị tên	File gốc	Đánh giá đẳng cấp	Có/không thể giao dịch (0 được,1 không được,)	Có/không thể vứt (0 được; 1 không được)	Lưu phái	Có/Không thể sửa (0Có/1Không)	Dự Lưu	Tiêu chí phát triển	Biên hiệu phát triển	Biên hiệu mở khóa	Biên hiệu kinh nghiệm
Lục Tùng Thạch hộ phù	0	102	11	1	10		20							5	1			\image\item\ring\ring_011a1.spr	\image\item\ring\ring_011a0.spr	Hộ phù quý hiếm chế từ Lục Tùng thạch		Bố phẩm		1	0	0		0					
Miêu Nhãn hộ phù	0	102	12	2	20		20							15	1			\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	Hộ phù quý hiếm chế từ Miêu Nhãn kỳ thạch		Bố phẩm		2	0	0		0					
Thủy Tinh hộ phù	0	102	13	3	50		20							25	1			\image\item\ring\ring_013a1.spr	\image\item\ring\ring_013a0.spr	Hộ phù quý hiếm chế từ Thủy Tinh kỳ thạch		Bố phẩm		3	0	0		0					
Hổ Phách Hộ phù	0	102	14	4	100		40							35	1			\image\item\ring\ring_014a1.spr	\image\item\ring\ring_014a0.spr	Hộ phù quý hiếm chế từ Hổ Phách kỳ thạch		Bố phẩm		4	0	0		0					
Hồng Phỉ Thúy Hộ Thân Phù	0	102	15	5	400		40							45	1			\image\item\ring\ring_015a1.spr	\image\item\ring\ring_015a0.spr	Hộ phù quý hiếm chế từ Phỉ Thúy kỳ thạch		Bố phẩm		5	0	0		0					
Phù Dung Thạch Giới Chỉ	0	102	16	1	10		20							10	2			\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	Được làm từ Phù Dung thạch, có thể tránh tà		Bố phẩm		1	0	0		0					
Tổ Mẫu Lục Giới Chỉ	0	102	17	2	20		20							20	2			\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	Được làm từ Lục Bảo Thạch, có thể tránh tà		Bố phẩm		2	0	0		0					
Lam Bảo Thạch Giới Chỉ	0	102	18	3	50		20							30	2			\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	Được làm từ Lam Bảo Thạch, có thể tránh tà		Bố phẩm		3	0	0		0					
Lam Thủy Tinh Giới Chỉ	0	102	19	4	100		40							40	2			\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	Được làm từ Lam thủy tinh, có thể tránh tà		Bố phẩm		4	0	0		0					
Nhẫn Kim Cương	0	102	20	5	400		40							50	2			\image\item\ring\ring_020a1.spr	\image\item\ring\ring_020a0.spr	Được làm từ Kim Cang thạch, có thể tránh tà		Bố phẩm		5	0	0		0					
Tân Thủ Ngọc Bội	0	102	101	2	2		20							1				\image\item\ring\ring_006a1.spr	\image\item\ring\ring_006a0.spr	Loại ngọc bội thứ phẩm, không có giá trị cao.		Nhiệm vụ		1	0	0		0					
Tân Thủ Hương Nang	0	102	102	2	2		20							1				\image\item\ring\ring_001a1.spr	\image\item\ring\ring_001a0.spr	Loại hương nang thứ phẩm, không có giá trị cao.		Nhiệm vụ		1	0	0		0					
Phỉ Thúy Giới Chỉ	0	102	103	2	2		20							1				\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	Làm từ Phỉ Thúy, giúp tăng năng lực phòng ngự nhất định.		Nhiệm vụ		1	1	1		0					
Nhẫn kim cương	0	102	104	2	2		20							15	1			\image\item\ring\ằộẵọa1.spr	\image\item\ring\ằộẵọa0.spr	Loại nhẫn đeo trong ngày thành hôn, tượng trưng cho tình yêu		Bố phẩm		1	0	1		0					
Nhẫn kim cương	0	102	105	2	2		20							13	2			\image\item\ring\ằộẵọa1.spr	\image\item\ring\ằộẵọa0.spr	Loại nhẫn đeo trong ngày thành hôn, tượng trưng cho tình yêu		Bố phẩm		1	0	1		0					
Nhẫn kim cương	0	102	106	2	2		20							15	1			\image\item\ring\ằộẵọa1.spr	\image\item\ring\ằộẵọa0.spr	Nhẫn dành cho những người đã kết hôn, tương trưng cho sự vĩnh hằng của tình yêu		Bố phẩm		1	2	1		0					
Nhẫn kim cương	0	102	107	2	2		20							13	2			\image\item\ring\ằộẵọa1.spr	\image\item\ring\ằộẵọa0.spr	Nhẫn dành cho những người đã kết hôn, tương trưng cho sự vĩnh hằng của tình yêu		Bố phẩm		1	2	1		0					
Tướng Quân Giới Chỉ	0	102	21	10	1		20							1				\image\item\ring\ring_020a1.spr	\image\item\ring\ring_020a0.spr	Vật may mắn của các hoàng đế tặng cho đại tướng khi xuất chinh		Đã khóa		7	0	1		0					
Cát Tường	0	102	22	1	1		20						500101	50				\image\item\ring\ring_015a1.spr	\image\item\ring\ring_015a0.spr	Trang sức may mắn, có thể mang đến vận may.		Đã khóa		7	2	1		0					
Như ý	0	102	23	1	1		20						500101	50				\image\item\ring\ring_014a1.spr	\image\item\ring\ring_014a0.spr	Trang sức may mắn, có thể mang đến vận may.		Đã khóa		7	2	1		0					
Đông Phương Long Châu	0	102	24	1	1		20						500102	50				\image\item\ring\ring_021a1.spr	\image\item\ring\ring_021a0.spr	Loại nhẫn thời xa xưa, chứa đựng một năng lực siêu phàm.		Đã khóa		7	2	1		0					
Phi Dương	0	102	25	1	1		20						500103	1	1			\image\item\ring\ễĐẵọa1.spr	\image\item\ring\ễĐẵọa0.spr	Gặp là cảm thấy vui mừng phấn khởi		Đã khóa		7	2	1		0					
Tịch Vọng	0	102	26	1	1		20						500104	1	2			\image\item\ring\ẹỡẵọa1.spr	\image\item\ring\ẹỡẵọa0.spr	Nhớ phu quân mong chờ ngày đêm		Đã khóa		7	2	1		0					
Khuất Nguyên Bội	0	102	27	1	1		20						500105	1				\image\item\ring\ring_006a1.spr	\image\item\ring\ring_006a0.spr	Loại ngọc bội Khuất Nguyên thường đeo		Bố phẩm		7	0	1		0					
Đại Lực Thần Hạng Liên	0	102	28	10	1		50						500106	10				\image\item\ring\ấÀẵỗ±ưấẻặãa1.spr	\image\item\ring\ấÀẵỗ±ưấẻặãa0.spr	"Được làm từ minh châu, Bảo Thạch, do Đại Tống Hoàng Đế tặng cho Xúc Cúc Vương (để vào ô phím tắt sử dụng)"		Bố phẩm	\script\online\worldcup06\worldcup_ring_item.lua	7	0	1		0					
Thái Hư Huyễn Ngọc	0	102	29	10	1		50						500107	70				\image\item\ring\ring_007a1.spr	\image\item\ring\ring_007a0.spr	"Pháp bảo của Cửu Thiên Huyền Nữ, có ích cho người luyện võ."		Bố phẩm		7	0	1		0					
Thái Hư Huyễn Đái 	0	102	30	10	1		50						500108	70				\image\item\ring\ặđ´ứ1a1.spr	\image\item\ring\ặđ´ứ1a0.spr	"Pháp bảo của Cửu Thiên Huyền Nữ, có ích cho người luyện võ."		Bố phẩm		7	0	1		0					
Thái Hư Huyễn Hoàn	0	102	31	10	1		50						500109	70				\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	Pháp bảo của Cửu Thiên Huyền Nữ, có ích cho người luyện võ.		Bố phẩm		7	0	1		0					
Thái Hư Huyễn Bội	0	102	32	10	1		50						500110	70				\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Pháp bảo của Cửu Thiên Huyền Nữ, có ích cho người luyện võ.		Bố phẩm		7	0	1		0					
Thái Hư Huyễn Giới	0	102	33	10	1		50						500111	70				\image\item\ring\ring_020a1.spr	\image\item\ring\ring_020a0.spr	Pháp bảo của Cửu Thiên Huyền Nữ, có ích cho người luyện võ.		Bố phẩm		7	0	1		0					
Thái Hư Huyễn Đại	0	102	34	10	1		50						500112	70				\image\item\ring\ring_001a1.spr	\image\item\ring\ring_001a0.spr	Pháp bảo của Cửu Thiên Huyền Nữ, đệ tử Ngũ Độc ưa dùng		Bố phẩm		7	0	1		0					
Thái Hư Huyễn Thạch	0	102	35	10	1		50						500113	70				\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	Pháp bảo của Cửu Thiên Huyền Nữ, dùng để chế ngự đối phương		Bố phẩm		7	0	1		0					
Cửu Thiên Huyền Ngọc	0	102	129	10	1		50						500117	70				\image\item\ring\èôéộằÃểủa1.spr	\image\item\ring\èôéộằÃểủa0.spr	Tiên bảo Cửu Thiên Huyền Nữ đánh rơi trong Thái Hư Huyễn cảnh, sau khi được cao nhân làm phép sẽ giúp người luyện võ tăng thêm sức mạnh.		Bố phẩm		7	0	1		0					
Cửu Thiên Huyền Đái	0	102	130	10	1		50						500118	70				\image\item\ring\èôéộằÃ´ứa1.spr	\image\item\ring\èôéộằÃ´ứa0.spr	Tiên bảo Cửu Thiên Huyền Nữ đánh rơi trong Thái Hư Huyễn cảnh, sau khi được cao nhân làm phép sẽ giúp người luyện võ tăng thêm thân pháp.		Bố phẩm		7	0	1		0					
Cửu Thiên Huyền Hoàn	0	102	131	10	1		50						500119	70				\image\item\ring\èôéộằÃằãa1.spr	\image\item\ring\èôéộằÃằãa0.spr	Tiên bảo Cửu Thiên Huyền Nữ đánh rơi trong Thái Hư Huyễn cảnh, sau khi được cao nhân làm phép sẽ giúp người luyện võ tăng thêm gân cốt.		Bố phẩm		7	2	1		0					
Cửu Thiên Huyền Bội	0	102	132	10	1		50						500120	70				\image\item\ring\èôéộằÃÅồa1.spr	\image\item\ring\èôéộằÃÅồa0.spr	Tiên bảo Cửu Thiên Huyền Nữ đánh rơi trong Thái Hư Huyễn cảnh, sau khi được cao nhân làm phép sẽ giúp người luyện võ tăng thêm nội công.		Bố phẩm		7	0	1		0					
Cửu Thiên Huyền Giới	0	102	133	10	1		50						500121	70				\image\item\ring\èôéộằÃẵọa1.spr	\image\item\ring\èôéộằÃẵọa0.spr	Tiên bảo Cửu Thiên Huyền Nữ đánh rơi trong Thái Hư Huyễn cảnh, sau khi được cao nhân làm phép sẽ giúp người luyện võ tăng thêm Linh hoạt.		Bố phẩm		7	0	1		0					
Cửu Thiên Huyền Đại	0	102	134	10	1		50						500122	70				\image\item\ring\èôéộằÃ´ỹa1.spr	\image\item\ring\èôéộằÃ´ỹa0.spr	Tiên bảo Cửu Thiên Huyền Nữ đánh rơi trong Thái Hư Huyễn cảnh, sau khi được cao nhân làm phép độc tính của nó hơn cả ma vật.		Bố phẩm		7	0	1		0					
Cửu Thiên Huyền Thạch	0	102	135	10	1		50						500123	70				\image\item\ring\èôéộằÃấ¯a1.spr	\image\item\ring\èôéộằÃấ¯a0.spr	Tiên bảo Cửu Thiên Huyền Nữ đánh rơi trong Thái Hư Huyễn cảnh, sau khi được cao nhân làm phép có thể xuyên thủng tất cả bảo giáp.		Bố phẩm		7	2	1		0					
Tiểu Thư Giới Chỉ	0	102	36	1	30000		50						501001	70				\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	Trang sức của tiểu thư Tàng Kiếm Sơn Trang		Bố phẩm		7	0	1		0					
Trưởng Lão Chỉ Hoàn	0	102	37	1	30000		50						501002	70				\image\item\other\³ÔÀẽệáằãa1.spr	\image\item\other\³ÔÀẽệáằãa0_120.spr	Nhẫn của Đại Trưởng Lão Tàng Kiếm Sơn Trang		Bố phẩm		7	0	1		0					
Tàng Kiếm Bảo Châu	0	102	38	1	0		100						501003	80				\image\item\ring\±Ưệộa1.spr	\image\item\ring\±Ưệ::80Ỷ1::0.spr	Trấn trang chi bảo của Tàng Kiếm Sơn Trang, làm từ hạt ngọc trai.		Bố phẩm		9	2	1		0					
Tàng Kiếm Kỳ Thạch	0	102	39	1	0		100						501004	80				\image\item\other\ắứầộấ¯a1.spr	\image\item\other\ắứầộấ¯a0_120.spr	Trấn trang chi bảo của Tàng Kiếm Sơn Trang, có thể xua đuổi tà ma		Bố phẩm		9	2	1		0					
Tàng Kiếm Kim ấn	0	102	40	1	0		100						501005	80				\image\item\other\ì¯ệữ±ƯểĂa1.spr	\image\item\other\ì¯ệữ±ƯểĂa0_120.spr	Trấn trang chi bảo của Tàng Kiếm Sơn Trang, được Cửu Tuyệt Kiếm Ma đúc thành từ ngọc tỷ Hòa Thị Bích.		Bố phẩm		9	2	1		0					
Ngọc Thố Dược Bao	0	102	41	1	40000		50						500114	50				\image\item\ring\ring_002a1.spr	\image\item\ring\ring_002a0.spr	Truyền thuyết là bao thuốc treo trước ngực thỏ ngọc.		Bố phẩm	\script\online\3festival\item\yueliangtu.lua	7	0	1		0					
Hằng Nga Nguyệt Vũ Đái	0	102	42	1	50000		100						500115	70	 			\image\item\ring\ặđ´ứ2a1.spr	\image\item\ring\ặđ´ứ2a0.spr	Hằng Nga rất thích, có thể xua tan mọi hiểm họa.		Bố phẩm	\script\online\3festival\item\change.lua	8	2	1		0					
Hậu Nghệ Lạc Nhật Hoàn	0	102	43	1	50000		100						500116	70	 			\image\item\ring\ring_021a1.spr	\image\item\ring\ring_021a0.spr	Truyền thuyết,Hậu Nghệ từng đeo khi bắn rơi mặt trời, cực kỳ quý giá		Bố phẩm	\script\online\3festival\item\houyi.lua	8	2	1		0					
Thối Xán Chi Tinh	0	102	44	1	50000		100						600016	70				\image\item\other\éầéầÀủằăa1.spr	\image\item\other\éầéầÀủằăa2.spr	Vật phẩm thần bí chiết xạ một luồng sức mạnh cực lớn		Đã khóa	\script\item\bright_star.lua	8	2	1		0					
Kim Cang Dương Bội	0	102	251	3	50		50						250101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Loại ngọc bội tinh quý, mang đến một luồng không khí ấm áp		Đã khóa		5	2	1	2	0					
Kim Cang Dao Bội	0	102	271	5	50		70						270101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Loại ngọc bội màu đen, mang đến một luồng không khí ấm áp		Đã khóa		7	2	1	2	0					
Kim Cang Dương Bội	0	102	252	3	50		50						250201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Loại ngọc bội tinh quý, mang đến một luồng không khí ấm áp		Đã khóa		5	2	1	2	0					
Kim Cang Dao Bội	0	102	272	5	50		70						270201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Loại ngọc bội màu đen, mang đến một luồng không khí ấm áp		Đã khóa		7	2	1	2	0					
Như Lai Dương Bội	0	102	351	3	50		50						350101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Loại ngọc bội tinh quý, mang đến một luồng không khí ấm áp		Đã khóa		5	2	1	3	0					
Như Lai Dao Bội	0	102	371	5	50		70						370101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Loại ngọc bội màu đen, mang đến một luồng không khí ấm áp		Đã khóa		7	2	1	3	0					
Như Lai Dương Bội	0	102	352	3	50		50						350201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Loại ngọc bội tinh quý, mang đến một luồng không khí ấm áp		Đã khóa		5	2	1	3	0					
Như Lai Dao Bội	0	102	372	5	50		70						370201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Loại ngọc bội màu đen, mang đến một luồng không khí ấm áp		Đã khóa		7	2	1	3	0					
La Hán Dương Bội	0	102	451	3	50		50						450101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Loại ngọc bội tinh quý, mang đến một luồng không khí ấm áp		Đã khóa		5	2	1	4	0					
La Hán Dao Bội	0	102	471	5	50		70						470101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Loại ngọc bội màu đen, mang đến một luồng không khí ấm áp		Đã khóa		7	2	1	4	0					
La Hán Dương Bội	0	102	452	3	50		50						450201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Loại ngọc bội tinh quý, mang đến một luồng không khí ấm áp		Đã khóa		5	2	1	4	0					
La Hán Dao Bội	0	102	472	5	50		70						470201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Loại ngọc bội màu đen, mang đến một luồng không khí ấm áp		Đã khóa		7	2	1	4	0					
Hiệp Khách Dương Bội	0	102	651	3	50		50						650101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Loại ngọc bội tinh quý, mang đến một luồng không khí ấm áp		Đã khóa		5	2	1	6	0					
Hiệp Khách Dao Bội	0	102	671	5	50		70						670101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Loại ngọc bội màu đen, mang đến một luồng không khí ấm áp		Đã khóa		7	2	1	6	0					
Hiệp Khách Dương Bội	0	102	652	3	50		50						650201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Loại ngọc bội tinh quý, mang đến một luồng không khí ấm áp		Đã khóa		5	2	1	6	0					
Hiệp Khách Dao Bội	0	102	672	5	50		70						670201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Loại ngọc bội màu đen, mang đến một luồng không khí ấm áp		Đã khóa		7	2	1	6	0					
Hiệp Khách Dương Bội	0	102	653	3	50		50						650301	50	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	Hương nang có chứa trầm hương, có tác dụng thanh tâm tịnh khí		Đã khóa		5	2	1	6	0					
Hiệp Khách Dao Bội	0	102	673	5	50		70						670301	70	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diên hương nang, có tác dụng thanh tâm tịnh khí		Đã khóa		7	2	1	6	0					
Hiệp Khách Dương Bội	0	102	654	3	50		50						650401	50	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	Hương nang có chứa trầm hương, có tác dụng thanh tâm tịnh khí		Đã khóa		5	2	1	6	0					
Hiệp Khách Dao Bội	0	102	674	5	50		70						670401	70	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diên hương nang, có tác dụng thanh tâm tịnh khí		Đã khóa		7	2	1	6	0					
Quan Âm Dương Bội	0	102	853	3	50		50						850301	50	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	Hương nang có chứa trầm hương, có tác dụng thanh tâm tịnh khí		Đã khóa		5	2	1	8	0					
Quan Âm Dao Bội	0	102	873	5	50		70						870301	70	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diên hương nang, có tác dụng thanh tâm tịnh khí		Đã khóa		7	2	1	8	0					
Quan Âm Dương Bội	0	102	854	3	50		50						850401	50	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	Hương nang có chứa trầm hương, có tác dụng thanh tâm tịnh khí		Đã khóa		5	2	1	8	0					
Quan Âm Dao Bội	0	102	874	5	50		70						870401	70	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diên hương nang, có tác dụng thanh tâm tịnh khí		Đã khóa		7	2	1	8	0					
Ngọc Nữ Dương  Bội	0	102	953	3	50		50						950301	50	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	Hương nang có chứa trầm hương, có tác dụng thanh tâm tịnh khí		Đã khóa		5	2	1	9	0					
Ngọc Nữ Dao Bội	0	102	973	5	50		70						970301	70	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diên hương nang, có tác dụng thanh tâm tịnh khí		Đã khóa		7	2	1	9	0					
Ngọc Nữ Dương  Bội	0	102	954	3	50		50						950401	50	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	Hương nang có chứa trầm hương, có tác dụng thanh tâm tịnh khí		Đã khóa		5	2	1	9	0					
Ngọc Nữ Dao Bội	0	102	974	5	50		70						970401	70	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diên hương nang, có tác dụng thanh tâm tịnh khí		Đã khóa		7	2	1	9	0					
Giáng Long Dương Bội	0	102	1151	3	50		50						1150101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Loại ngọc bội tinh quý, mang đến một luồng không khí ấm áp		Đã khóa		5	2	1	11	0					
Giáng Long Dao Bội	0	102	1171	5	50		70						1170101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Loại ngọc bội màu đen, mang đến một luồng không khí ấm áp		Đã khóa		7	2	1	11	0					
Giáng Long Dương Bội	0	102	1152	3	50		50						1150201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Loại ngọc bội tinh quý, mang đến một luồng không khí ấm áp		Đã khóa		5	2	1	11	0					
Giáng Long Dao Bội	0	102	1172	5	50		70						1170201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Loại ngọc bội màu đen, mang đến một luồng không khí ấm áp		Đã khóa		7	2	1	11	0					
Giáng Long Dương Bội	0	102	1153	3	50		50						1150301	50	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	Hương nang có chứa trầm hương, có tác dụng thanh tâm tịnh khí		Đã khóa		5	2	1	11	0					
Giáng Long Dao Bội	0	102	1173	5	50		70						1170301	70	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diên hương nang, có tác dụng thanh tâm tịnh khí		Đã khóa		7	2	1	11	0					
Giáng Long Dương Bội	0	102	1154	3	50		50						1150401	50	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	Hương nang có chứa trầm hương, có tác dụng thanh tâm tịnh khí		Đã khóa		5	2	1	11	0					
Giáng Long Dao Bội	0	102	1174	5	50		70						1170401	70	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diên hương nang, có tác dụng thanh tâm tịnh khí		Đã khóa		7	2	1	11	0					
Phong Ma Dương Bội	0	102	1251	3	50		50						1250101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Loại ngọc bội tinh quý, mang đến một luồng không khí ấm áp		Đã khóa		5	2	1	12	0					
Phong Ma Dao Bội	0	102	1271	5	50		70						1270101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Loại ngọc bội màu đen, mang đến một luồng không khí ấm áp		Đã khóa		7	2	1	12	0					
Phong Ma Dương Bội	0	102	1252	3	50		50						1250201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Loại ngọc bội tinh quý, mang đến một luồng không khí ấm áp		Đã khóa		5	2	1	12	0					
Phong Ma Dao Bội	0	102	1272	5	50		70						1270201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Loại ngọc bội màu đen, mang đến một luồng không khí ấm áp		Đã khóa		7	2	1	12	0					
Phong Ma Dương Bội	0	102	1253	3	50		50						1250301	50	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	Hương nang có chứa trầm hương, có tác dụng thanh tâm tịnh khí		Đã khóa		5	2	1	12	0					
Phong Ma Dao Bội	0	102	1273	5	50		70						1270301	70	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diên hương nang, có tác dụng thanh tâm tịnh khí		Đã khóa		7	2	1	12	0					
Phong Ma Dương Bội	0	102	1254	3	50		50						1250401	50	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	Hương nang có chứa trầm hương, có tác dụng thanh tâm tịnh khí		Đã khóa		5	2	1	12	0					
Phong Ma Dao Bội	0	102	1274	5	50		70						1270401	70	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diên hương nang, có tác dụng thanh tâm tịnh khí		Đã khóa		7	2	1	12	0					
Chân Vũ Dương Bội	0	102	1451	3	50		50						1450101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Loại ngọc bội tinh quý, mang đến một luồng không khí ấm áp		Đã khóa		5	2	1	14	0					
