Tên Mão	Loại hình chính	Loại hình phụ	Phân loại chi tiết	Nặng	Giá	Ngũ hành	Độ bền	(Ngoại, nội) phòng	Thuộc tính hỗ trợ 1	Trị số Thuộc tính hỗ trợ 1	Thuộc tính hỗ trợ 2	Trị số Thuộc tính hỗ trợ 2	Số trang bị	Đắng cấp yêu cầu	Giới tính yêu cầu	Thể hình yêu cầu	Môn phái yêu cầu	Hiện hình nhỏ trên giao diện	Hiện hình lớn trên giao diện	Thuyết minh	ì°±áễÚẫớẫẽàÄấ±ºũÊơấạểÃàÄẽễấắÀàéÍÃỷìệ	Khi vứt ra ngoài sẽ hiển thị tên	File gốc	Cấp	Có/không thể giao dịch(0 được,1 không được,2 chỉ có thể bán ở tiệm,3 chỉ có thể bán)	Có/không thể vứt (0 được; 1 không được)	Lưu phái	Có/Không thể sửa (0Có/1Không)	Dự Lưu	Tiêu chí phát triển	Biên hiệu phát triển	Biên hiệu mở khóa	Biên hiệu kinh nghiệm
Hồng Lăng Cân	0	103	11	40	3064	0	100	21;8						47	1	1		\image\item\cap\man1_cap_011a1.spr	\image\item\cap\man1_cap_011a0.spr	Mùi thơm của khăn làm mất tác dụng của các loại mê hương dược.	±ờìẳÄéÍã²¿016	Mão		4	0	0		0					
Hàng Vân Thúc đái	0	103	12	20	3302	0	85	8;21						48	1	1		\image\item\cap\man1_cap_012a1.spr	\image\item\cap\man1_cap_012a0.spr	Dùng để búi tóc trước khi chiến đấu	±ờìẳÄéÍã²¿013	Mão		4	0	0		0					
Thanh Sa Nhãn Tráo	0	103	13	50	5074	0	130	23;8						55	1	1		\image\item\cap\man1_cap_013a1.spr	\image\item\cap\man1_cap_013a0.spr	Bảo vệ cho mắt. Thích hợp chiến đấu	±ờìẳÄéÍã²¿017	Mão		5	0	0		0					
Xích Tinh Nhãn Tráo	0	103	14	25	5402	0	110	8;23						56	1	1		\image\item\cap\man1_cap_014a1.spr	\image\item\cap\man1_cap_014a0.spr	Nhẹ như cánh chuồn chuồn. Màu đỏ khiến đối phương hoảng sợ	±ờìẳÄéÍã²¿011	Mão		5	0	0		0					
Phi Vân Lạp	0	103	15	60	8260	0	160	24;9						64	1	1		\image\item\cap\man1_cap_015a1.spr	\image\item\cap\man1_cap_015a0.spr	Kết bằng tinh thiết. Phòng ngự cực tốt	±ờìẳÄéÍã²¿006	Mão		6	0	0		0					
Tuyệt Bảo Quán	0	103	16	30	8605	0	140	9;24						65	1	1		\image\item\cap\man1_cap_016a1.spr	\image\item\cap\man1_cap_016a0.spr	Khảm nhiều Bảo Thạch quý hiếm. Giúp cơ thể phục hồi sinh khí	±ờìẳÄéÍã²¿014	Mão		6	0	0		0					
Sơn Quỷ Diện	0	103	17	70	12923	0	200	26;12						72	1	1		\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Mềm dẻo nhưng chắc chắn. Thích hợp chiến đấu	±ờìẳÄéÍã²¿018	Mão		7	0	0		0					
Mật Thần quán	0	103	18	35	13863	0	175	12;26						73	1	1		\image\item\cap\man1_cap_018a1.spr	\image\item\cap\man1_cap_018a0.spr	Đội vào có thể linh cảm được điều hiểm nguy sắp xảy ra	±ờìẳÄéÍã²¿009	Mão		7	0	0		0					
Hiệp Thiếu bố cân	0	103	19	5	1	0	20	10;3						2	1	2		\image\item\cap\man2_cap_001a1.spr	\image\item\cap\man2_cap_001a0.spr	Dùng để búi tóc khi luyện vông	¿ýẻàÄéÍã²¿004	Mão		1	0	0		0					
Hắc Cẩm bố cân	0	103	20	5	1	0	25	12;4						8	1	2		\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	Các hiệp khách thường mang khi hành hiệp đêm tối	¿ýẻàÄéÍã²¿001	Mão		1	0	0		0					
Ngưu Bì đầu cân	0	103	21	10	396	0	30	13;4						13	1	2		\image\item\cap\man2_cap_003a1.spr	\image\item\cap\man2_cap_003a0.spr	Vừa đẹp vừa duyên dáng. Các văn nhân rất thích đeo	¿ýẻàÄéÍã²¿002	Mão		2	0	0		0					
Kim Điều cân	0	103	22	5	457	0	25	4;13						14	1	2		\image\item\cap\man2_cap_004a1.spr	\image\item\cap\man2_cap_004a0.spr	Dùng để búi tóc, rũ ra phía sau rất đẹp	¿ýẻàÄéÍã²¿013	Mão		2	0	0		0					
Vũ Thắng Sa Mão	0	103	23	15	725	0	45	15;5						21	1	2		\image\item\cap\man2_cap_005a1.spr	\image\item\cap\man2_cap_005a0.spr	Các võ sư thường mang, phòng ngự rất tốt	¿ýẻàÄéÍã²¿010	Mão		2	0	0		0					
Hoàng Trù Thúc cân	0	103	24	10	734	0	35	5;15						22	1	2		\image\item\cap\man2_cap_002a1.spr	\image\item\cap\man2_cap_002a0.spr	Vừa đẹp vừa có thể bảo vệ phần đầu	¿ýẻàÄéÍã²¿014	Mão		2	0	0		0					
Thần Mộc cân	0	103	25	20	1046	0	60	17;6						30	1	2		\image\item\cap\man2_cap_007a1.spr	\image\item\cap\man2_cap_007a0.spr	Kết từ vỏ cây cổ thụ. Phòng ngự cực tốt	¿ýẻàÄéÍã²¿011	Mão		3	0	0		0					
Nhược Thủy Lạp	0	103	26	10	1115	0	50	6;17						31	1	2		\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	Gọn nhẹ nhưng chắc chắn.	¿ýẻàÄéÍã²¿003	Mão		3	0	0		0					
Chu Tước Thúc cân	0	103	27	30	1695	0	80	19;7						38	1	2		\image\item\cap\man2_cap_009a1.spr	\image\item\cap\man2_cap_009a0.spr	Các văn nhân thường đeo, rất sang trọng quý phái	¿ýẻàÄéÍã²¿015	Mão		3	0	0		0					
Hải Thần kết	0	103	28	15	1811	0	65	7;19						39	1	2		\image\item\cap\man2_cap_010a1.spr	\image\item\cap\man2_cap_010a0.spr	Giống hình đầu cá, phòng ngự cực tốt	¿ýẻàÄéÍã²¿008	Mão		3	0	0		0					
Định Quốc Tử Cân	0	103	29	40	3064	0	100	21;8						47	1	2		\image\item\cap\man2_cap_011a1.spr	\image\item\cap\man2_cap_011a0.spr	Hào khí xung thiên, tăng thêm sức mạnh chiến đấu	¿ýẻàÄéÍã²¿012	Mão		4	0	0		0					
Mật Nhẫn Diện tráo	0	103	30	20	3302	0	85	8;21						48	1	2		\image\item\cap\man2_cap_012a1.spr	\image\item\cap\man2_cap_012a0.spr	Các thích khách Huyền Nhẫn giáo vùng Liêu Đông thường mang	¿ýẻàÄéÍã²¿018	Mão		4	0	0		0					
Thần Sách Kim Khôi	0	103	31	50	5074	0	130	23;8						55	1	2		\image\item\cap\man2_cap_013a1.spr	\image\item\cap\man2_cap_013a0.spr	Cấm vệ quân Đường triều thường đội. Tượng trưng cho sức mạnh vương quyền	¿ýẻàÄéÍã²¿005	Mão		5	0	0		0					
Ngũ Quỷ cân	0	103	32	25	5402	0	110	8;23						56	1	2		\image\item\cap\man2_cap_014a1.spr	\image\item\cap\man2_cap_014a0.spr	Hút được yêu ma linh lực, khiến đối phương vừa nhìn thấy đã khiếp sợ	¿ýẻàÄéÍã²¿017	Mão		5	0	0		0					
Tinh Cang Chiến Khôi	0	103	33	60	8260	0	160	24;9						64	1	2		\image\item\cap\man2_cap_015a1.spr	\image\item\cap\man2_cap_015a0.spr	Tinh thép đúc thành, đao thương bất nhập	¿ýẻàÄéÍã²¿006	Mão		6	0	0		0					
Lôi Trì diện	0	103	34	30	8605	0	140	9;24						65	1	2		\image\item\cap\man2_cap_016a1.spr	\image\item\cap\man2_cap_016a0.spr	Phòng ngự cực kỳ hiệu quả	¿ýẻàÄéÍã²¿009	Mão		6	0	0		0					
Chung Quỳ diện	0	103	35	70	12923	0	200	26;12						72	1	2		\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Đeo vào khiến quỷ thần cũng phải kinh sợ	¿ýẻàÄéÍã²¿007	Mão		7	0	0		0					
Dị Thần cân	0	103	36	35	13863	0	175	12;26						73	1	2		\image\item\cap\man2_cap_018a1.spr	\image\item\cap\man2_cap_018a0.spr	Chứa nhiều năng lực thần bí	¿ýẻàÄéÍã²¿016	Mão		7	0	0		0					
Đào Mộc Trâm	0	103	37	5	1	0	20	10;3						2	2	3		\image\item\cap\fm1_cap_001a1.spr	\image\item\cap\fm1_cap_001a0.spr	Làm từ đào mộc, mang vào sẽ khiến tâm tính hiền hòa	éễáéÅđÍã²¿033	Mão		1	0	0		0					
Thái Mộc Trâm	0	103	38	5	1	0	25	12;4						8	2	3		\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	Mùi hương có thể xua đuổi các loại độc trùng	éễáéÅđÍã²¿019	Mão		1	0	0		0					
Phòng Phong Lạp	0	103	39	10	396	0	30	13;4						13	2	3		\image\item\cap\fm1_cap_003a1.spr	\image\item\cap\fm1_cap_003a0.spr	Dùng để bảo vệ mắt, có thể đi trong gió cát	éễáéÅđÍã²¿021	Mão		2	0	0		0					
Tị Thủy Lạp	0	103	40	5	457	0	25	4;13						14	2	3		\image\item\cap\fm1_cap_004a1.spr	\image\item\cap\fm1_cap_004a0.spr	Loại vải không thấm nước, có thể đi trong mưa gió	éễáéÅđÍã²¿022	Mão		2	0	0		0					
Thanh Đồng kết	0	103	41	15	725	0	45	15;5						21	2	3		\image\item\cap\fm1_cap_005a1.spr	\image\item\cap\fm1_cap_005a0.spr	Hình dáng rất cổ xưa, làm từ đồng thau	éễáéÅđÍã²¿029	Mão		2	0	0		0					
San Hô trâm	0	103	42	10	734	0	35	5;15						22	2	3		\image\item\cap\fm1_cap_006a1.spr	\image\item\cap\fm1_cap_006a0.spr	Làm từ san hô ngàn năm, nghìn vàng khó mua	éễáéÅđÍã²¿034	Mão		2	0	0		0					
Bàn Thạch kết	0	103	43	20	1046	0	60	17;6						30	2	3		\image\item\cap\fm1_cap_007a1.spr	\image\item\cap\fm1_cap_007a0.spr	Làm từ hỏa thạch, có thể trừ hàn giải độc	éễáéÅđÍã²¿027	Mão		3	0	0		0					
Khổng Tước Trâm	0	103	44	10	1115	0	50	6;17						31	2	3		\image\item\cap\fm1_cap_008a1.spr	\image\item\cap\fm1_cap_008a0.spr	Kỳ trân dị bảo. Có thể phòng và giải độc dược	éễáéÅđÍã²¿020	Mão		3	0	0		0					
Chu Tước Phát Kết	0	103	45	30	1695	0	80	19;7						38	2	3		\image\item\cap\fm1_cap_009a1.spr	\image\item\cap\fm1_cap_009a0.spr	Làm từ xương đại điêu, có thể đi xuyên lửa	éễáéÅđÍã²¿027	Mão		3	0	0		0					
Đằng Xà trâm	0	103	46	15	1811	0	65	7;19						39	2	3		\image\item\cap\fm1_cap_010a1.spr	\image\item\cap\fm1_cap_010a0.spr	Làm từ xương mãng xà vương. Có thể khống chế dã thú	éễáéÅđÍã²¿025	Mão		3	0	0		0					
Minh Điệp kết	0	103	47	40	3064	0	100	21;8						47	2	3		\image\item\cap\fm1_cap_011a1.spr	\image\item\cap\fm1_cap_011a0.spr	Mô phỏng theo hình 1 loại bướm kỳ dị vùng Miêu Lĩnh	éễáéÅđÍã²¿031	Mão		4	0	0		0					
Kim Phụng Trâm	0	103	48	20	3302	0	85	8;21						48	2	3		\image\item\cap\fm1_cap_012a1.spr	\image\item\cap\fm1_cap_012a0.spr	Loại trâm chứa ẩn linh lực, có thể điều khiển được ác thú	éễáéÅđÍã²¿023	Mão		4	0	0		0					
Địa Kiệt	0	103	49	50	5074	0	130	23;8						55	2	3		\image\item\cap\fm1_cap_013a1.spr	\image\item\cap\fm1_cap_013a0.spr	Loại mão chỉ dành cho các nữ tướng	éễáéÅđÍã²¿034	Mão		5	0	0		0					
Đoạt hồn	0	103	50	25	5402	0	110	8;23						56	2	3		\image\item\cap\fm1_cap_014a1.spr	\image\item\cap\fm1_cap_014a0.spr	Tẩm chất kịch độc, các sát thủ ưa dùng	éễáéÅđÍã²¿024	Mão		5	0	0		0					
Nhật Miện	0	103	51	60	8260	0	160	24;9						64	2	3		\image\item\cap\fm1_cap_015a1.spr	\image\item\cap\fm1_cap_015a0.spr	Một trong những bảo vật do nữ vương Oa quốc tiến cống cho Đường triều	éễáéÅđÍã²¿032	Mão		6	0	0		0					
Thần Ô	0	103	52	30	8605	0	140	9;24						65	2	3		\image\item\cap\fm1_cap_016a1.spr	\image\item\cap\fm1_cap_016a0.spr	Khắc tinh của các loại độc dược	éễáéÅđÍã²¿030	Mão		6	0	0		0					
Tu La	0	103	53	70	12923	0	200	26;12						72	2	3		\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Có thể dùng để chiêu gọi yêu hồn	éễáéÅđÍã²¿036	Mão		7	0	0		0					
Chu Tước	0	103	54	35	13863	0	175	12;26						73	2	3		\image\item\cap\fm1_cap_018a1.spr	\image\item\cap\fm1_cap_018a0.spr	Có thể khiến mưa gió sấm sét phải dừng lại	éễáéÅđÍã²¿026	Mão		7	0	0		0					
Đào Mộc thoa	0	103	55	5	1	0	20	10;3						2	2	4		\image\item\cap\fm2_cap_001a1.spr	\image\item\cap\fm2_cap_001a0.spr	Loại trâm dùng để thử các loại độc dược	ẵ¿éĂÅđÍã²¿003	Mão		1	0	0		0					
Thái Văn Mộc trâm	0	103	56	5	1	0	25	12;4						8	2	4		\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	Vừa đẹp vừa có thể khử độc	ẵ¿éĂÅđÍã²¿005	Mão		1	0	0		0					
Trầm Mộc Thúc trâm	0	103	57	10	396	0	30	13;4						13	2	4		\image\item\cap\fm2_cap_003a1.spr	\image\item\cap\fm2_cap_003a0.spr	Làm từ trầm hương. Xa trăm bước vẫn nghe được mùi hương	ẵ¿éĂÅđÍã²¿008	Mão		2	0	0		0					
Ngân Linh Trâm	0	103	58	5	457	0	25	4;13						14	2	4		\image\item\cap\fm2_cap_004a1.spr	\image\item\cap\fm2_cap_004a0.spr	Thuần ngân tạo thành. Khi gặp gió sẽ phát ra tiếng nhạc du dương	ẵ¿éĂÅđÍã²¿004	Mão		2	0	0		0					
Quỷ Diện Thúc cân	0	103	59	15	725	0	45	15;5						21	2	4		\image\item\cap\fm2_cap_005a1.spr	\image\item\cap\fm2_cap_005a0.spr	Hình dáng như mặt quỷ khiến người nhát gan phải tránh xa	ẵ¿éĂÅđÍã²¿011	Mão		2	0	0		0					
Thanh Lam cân	0	103	60	10	734	0	35	5;15						22	2	4		\image\item\cap\fm2_cap_006a1.spr	\image\item\cap\fm2_cap_006a0.spr	Kết từ tơ Thiên tàm, nghìn vàng khó mua	ẵ¿éĂÅđÍã²¿001	Mão		2	0	0		0					
Lam Điệp Thúc cân	0	103	61	20	1046	0	60	17;6						30	2	4		\image\item\cap\fm2_cap_007a1.spr	\image\item\cap\fm2_cap_007a0.spr	Hình như cánh bướm. Giải độc cực kỳ hữu hiệu	ẵ¿éĂÅđÍã²¿010	Mão		3	0	0		0					
Bạch Hồng Trâm	0	103	62	10	1115	0	50	6;17						31	2	4		\image\item\cap\fm2_cap_008a1.spr	\image\item\cap\fm2_cap_008a0.spr	Đúc từ tinh thiết. Lúc nguy cấp có thể phát ra hào quang che mắt đối phương	ẵ¿éĂÅđÍã²¿002	Mão		3	0	0		0					
Thiên Cơ Thúc trâm	0	103	63	30	1695	0	80	19;7						38	2	4		\image\item\cap\fm2_cap_009a1.spr	\image\item\cap\fm2_cap_009a0.spr	Thiếu nữ Miêu tộc vùng Lĩnh Nam thường gắn trên đầu. Có thể giải độc.	ẵ¿éĂÅđÍã²¿007	Mão		3	0	0		0					
Thiên La Thoa	0	103	64	15	1811	0	65	7;19						39	2	4		\image\item\cap\fm2_cap_010a1.spr	\image\item\cap\fm2_cap_010a0.spr	Các thiếu nữ Liêu bang thường mang. Chế từ băng tinh ngàn năm!	ẵ¿éĂÅđÍã²¿016	Mão		3	0	0		0					
Thiên Phong Thúc trâm	0	103	65	40	3064	0	100	21;8						47	2	4		\image\item\cap\fm2_cap_011a1.spr	\image\item\cap\fm2_cap_011a0.spr	Các thiếu nữ Liêu bang thường mang, trong thường chứa độc dược.	ẵ¿éĂÅđÍã²¿012	Mão		4	0	0		0					
Vân Mộng Thoa	0	103	66	20	3302	0	85	8;21						48	2	4		\image\item\cap\fm2_cap_012a1.spr	\image\item\cap\fm2_cap_012a0.spr	Tín vật của chưởng môn Thúy yên bị thất lạc	ẵ¿éĂÅđÍã²¿006	Mão		4	0	0		0					
Phi Điểu	0	103	67	50	5074	0	130	23;8						55	2	4		\image\item\cap\fm2_cap_013a1.spr	\image\item\cap\fm2_cap_013a0.spr	Bảo vật mang về từ phương Tây! Quý giá vô song	ẵ¿éĂÅđÍã²¿013	Mão		5	0	0		0					
Hồng Cốc	0	103	68	25	5402	0	110	8;23						56	2	4		\image\item\cap\fm2_cap_014a1.spr	\image\item\cap\fm2_cap_014a0.spr	Làm từ san hô, trị được bách độc	ẵ¿éĂÅđÍã²¿015	Mão		5	0	0		0					
Bảo Tượng	0	103	69	60	8260	0	160	24;9						64	2	4		\image\item\cap\fm2_cap_015a1.spr	\image\item\cap\fm2_cap_015a0.spr	Bảo vật do nước Đại Thực cống cho Đường triều	ẵ¿éĂÅđÍã²¿009	Mão		6	0	0		0					
Phong Lôi	0	103	70	30	8605	0	140	9;24						65	2	4		\image\item\cap\fm2_cap_016a1.spr	\image\item\cap\fm2_cap_016a0.spr	Có thể gọi sấm sét trừ tà ma	ẵ¿éĂÅđÍã²¿017	Mão		6	0	0		0					
Vu Hàm	0	103	71	70	12923	0	200	26;12						72	2	4		\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Chứa nhiều linh lực. Khử được nhiều loại độc được	ẵ¿éĂÅđÍã²¿014	Mão		7	0	0		0					
Trường sinh	0	103	72	35	13863	0	175	12;26						73	2	4		\image\item\cap\fm2_cap_018a1.spr	\image\item\cap\fm2_cap_018a0.spr	Người mang vào như trẻ lại hơn 10 tuổi	ẵ¿éĂÅđÍã²¿018	Mão		7	0	0		0					
Bách Chiến	0	103	73	60	14000	0	200	30;14						86	1	1		\image\item\cap\°Ùếẵa1.spr	\image\item\cap\°Ùếẵa0.spr	Bách Chiến Quán, khí thế hiên ngang ngất ngưỡng.	±ờìẳÄéÍã²¿8ẳảÍõ	Mão		8	0	0		0					
Ô Bàn	0	103	74	60	14000	0	200	30;14						86	1	2		\image\item\cap\ẻÚÅÍa1.spr	\image\item\cap\ẻÚÅÍa0.spr	Cái khôi được làm từ Ô Kim Thạch, cứng cáp và vững như thạch bàn, chuyên hấp thụ vết thương chí mạng.	¿ýẻàÄéÍã²¿8ẳảÍõ	Mão		8	0	0		0					
Họa Huân	0	103	75	60	14000	0	200	30;14						86	2	3		\image\item\cap\ằưẹơa1.spr	\image\item\cap\ằưẹơa0.spr	Trâm cài buông rũ xuống tóc, yểu điệu như huân phong nhập huyền, cảnh đẹp như tranh.	éễáéÅđÍã²¿8ẳảÍõ	Mão		8	0	0		0					
Phiên Tuyết	0	103	76	60	14000	0	200	30;14						86	2	4		\image\item\cap\ụổẹâa1.spr	\image\item\cap\ụổẹâa0.spr	Trang sức được làm từ nhung tuyết, vấn trên tóc như bông tuyết, tỏa hương thơm nhẹ, đẹp lung linh.	ẵ¿éĂÅđÍã²¿8ẳảÍõ	Mão		8	0	0		0					
Huyền Vũ	0	103	77	60	14000	0	200	14;30						87	1	1		\image\item\cap\éỵểða1.spr	\image\item\cap\éỵểða0.spr	Làm từ lông vũ đen tuyền, óng ánh mộc mạc. Chóp nhọn mà đáy sâu, dày.	±ờìẳÄéÍã²¿8ẳảÄÚ	Mão		8	0	0		0					
Cửu Anh	0	103	78	60	14000	0	200	14;30						87	1	2		\image\item\cap\ắÅểÔa1.spr	\image\item\cap\ắÅểÔa0.spr	Làm từ tơ Lưu Kim, rất bền chắc, chống đỡ được sát thương nội gia.	¿ýẻàÄéÍã²¿8ẳảÄÚ	Mão		8	0	0		0					
Yên Hoa	0	103	79	60	14000	0	200	14;30						87	2	3		\image\item\cap\ổèằăa1.spr	\image\item\cap\ổèằăa0.spr	Cây thoa hình dáng một bông hoa xinh đẹp, rung rinh trước gió, tôn thêm nét uyển điệu thục nữ.	éễáéÅđÍã²¿8ẳảÄÚ	Mão		8	0	0		0					
Yên Mộng	0	103	80	60	14000	0	200	14;30						87	2	4		\image\item\cap\ẹèÂĩa1.spr	\image\item\cap\ẹèÂĩa0.spr	Trang sức làm bằng tơ Thiên Tầm, đẹp tinh xảo	ẵ¿éĂÅđÍã²¿8ẳảÄÚ	Mão		8	0	0		0					
Lục Ly	0	103	81	60	20000	0	200	24;24						96	1	1		\image\item\cap\ÂẵÀởa1.spr	\image\item\cap\ÂẵÀởa0.spr	Vũ quán rực rỡ hình chóp, là quán Khuất Nguyên dùng khi chu du giang hồ, kháng thủy, hỏa và kỳ độc.	±ờìẳÄéÍã²¿9ẳả	Mão		9	0	0		0					
Thục Quỷ	0	103	82	60	20000	0	200	24;24						96	1	2		\image\item\cap\ấủạớa1.spr	\image\item\cap\ấủạớa0.spr	Lấy máu của quỷ Thục Đạo kết với tóc đỏ, tác dụng làm ma quỷ khiếp sợ, kháng khí bất thường.	¿ýẻàÄéÍã²¿9ẳả	Mão		9	0	0		0					
Phú Vũ	0	103	83	60	20000	0	200	24;24						96	2	3		\image\item\cap\á³ểờa1.spr	\image\item\cap\á³ểờa0.spr	Trang sức làm từ Dao Ngọc, có đính chuỗi hạt lưu ly, trông rất thướt tha.	éễáéÅđÍã²¿9ẳả	Mão		9	0	0		0					
ảm Nguyệt	0	103	84	60	20000	0	200	24;24						96	2	4		\image\item\cap\ữửễÂa1.spr	\image\item\cap\ữửễÂa0.spr	Trang sức làm từ giáng sa, lung linh huyền ảo.	ẵ¿éĂÅđÍã²¿9ẳả	Mão		9	0	0		0					
Thiên Địa Huyền Hoàng Khôi	0	103	85	30	30000	0	200	26;26						70	1	1		\image\item\cap\Äéằặẵð¿ứa1.spr	\image\item\cap\Äéằặẵð¿ứa0.spr	Thiên địa Huyền Hoàng, vũ trụ hồng hoang, vạn vật biến hóa, khôi này cũng biến hóa ứng với Thiên Đạo, có sức mạnh vô hạn.	±ờìẳÄéằặẵð¿ứ	Mão		9	0	1		0					
Thiên Địa Huyền Hoàng Khôi	0	103	86	30	30000	0	200	26;26						70	1	2		\image\item\cap\Äéằặẵð¿ứa1.spr	\image\item\cap\Äéằặẵð¿ứa0.spr	Thiên địa Huyền Hoàng, vũ trụ hồng hoang, vạn vật biến hóa, khôi này cũng biến hóa ứng với Thiên Đạo, có sức mạnh vô hạn.	¿ýẻàÄéằặẵð¿ứ	Mão		9	0	1		0					
Thiên Địa Huyền Hoàng Khôi	0	103	87	30	30000	0	200	26;26						70	2	3		\image\item\cap\Åđằặẵð¿ứa1.spr	\image\item\cap\Åđằặẵð¿ứa0.spr	Thiên địa Huyền Hoàng, vũ trụ hồng hoang, vạn vật biến hóa, khôi này cũng biến hóa ứng với Thiên Đạo, có sức mạnh vô hạn.	éễáéÅđằặẵð¿ứ	Mão		9	0	1		0					
Thiên Địa Huyền Hoàng Khôi	0	103	88	30	30000	0	200	26;26						70	2	4		\image\item\cap\Åđằặẵð¿ứa1.spr	\image\item\cap\Åđằặẵð¿ứa0.spr	Thiên địa Huyền Hoàng, vũ trụ hồng hoang, vạn vật biến hóa, khôi này cũng biến hóa ứng với Thiên Đạo, có sức mạnh vô hạn.	ẵ¿éĂÅđằặẵð¿ứ	Mão		9	0	1		0					
