Tên	Loại hình chính	Loại hình phụ	Phân loại chi tiết	Nặng	Giá	Bí kiếp âm dương	Số thứ tự bí kiếp	Thêm công kích ngoại công chủ động:	Tầng thứ	Thêm công kích nội công chủ động:	Tầng thứ	Thêm công kích phụ trợ: 	Tầng thứ 	Thêm phòng ngự phụ trợ:	Tầng thứ	Số phụ lục mật tịch	Tầng thứ 	Hiện hình nhỏ trên giao diện	Hiện hình lớn trên giao diện	Thuyết minh	Khi sử dụng trang bị sẽ hiển thị tên loại hình	Khi vứt ra ngoài sẽ hiển thị tên	File gốc	Cấp	Phẩm chất mật tịch kỹ năng	Có/không thể vứt (0 được; 1 không được)	Lưu phái	Lưu ( Chữ số)	Bối cảnh
Thiên La Mật Tịch	0	107	7	1	10	1	404	60;120	30;50	10;20	0;10	40;80	20;40	30;60	20;30	20;30	10	\image\item\book\book_009a1.spr	\image\item\book\book_009a0.spr	Đường Môn, ghi chép thuật ám khí Thiên La Địa Võng		Mật tịch		45	0;60		6		
Thiên La Tâm Pháp	0	107	8	1	10	1	404	20;40	10;20	10;20	0;10	60;120	30;50	50;100	30;50	20;30	10	\image\item\book\book_010a1.spr	\image\item\book\book_010a0.spr	Đường Môn, ghi chép kỹ xảo Thiên La Địa Võng		Mật tịch		45	0;60		6		
Như ý Mật Tịch	0	107	9	1	10	1	405	10;20	0;10	20;40	10;20	60;120	30;50	50;100	30;50	20;30	10	\image\item\book\book_080a1.spr	\image\item\book\book_080a0.spr	Nga My Phật Gia, ghi chép tuyệt học Như ý Tỏa Nguyên Công		Mật tịch		45	0;60		8		
Như ý Tâm Pháp	0	107	10	1	10	1	405	10;20	0;10	20;40	10;20	50;100	30;50	60;120	30;50	20;30	10	\image\item\book\book_081a1.spr	\image\item\book\book_081a0.spr	Nga My Phật Gia, ghi chép tuyệt học Như ý Tỏa Nguyên Công		Mật tịch		45	0;60		8		
Bích Hải Phổ	0	107	11	1	10	1	406	40;80	20;40	50;100	30;50	10;20	0;10	30;60	20;30	20;30	10	\image\item\book\book_015a1.spr	\image\item\book\book_015a0.spr	Nga My Tục Gia, ghi chép tuyệt học cầm thuật Bích Hải Triều Sinh		Mật tịch		45	0;60		9		
Bích Hải Tâm Pháp	0	107	12	1	10	1	406	10;20	0;10	20;40	10;20	50;100	30;50	50;100	30;50	20;30	10	\image\item\book\book_016a1.spr	\image\item\book\book_016a0.spr	Nga My Tục Gia, ghi chép tuyệt học cầm thuật Bích Hải Triều Sinh		Mật tịch		45	0;60		9		
Hỗn Độn Mật tịch	0	107	13	1	10	2	428	60;120	30;50	10;20	0;10	40;80	20;40	30;60	20;30	20;30	10	\image\item\book\book_019a1.spr	\image\item\book\book_019a0.spr	Mật tịch Cái Bang Tĩnh y, ghi chép tuyệt học Ngũ Nhạc Quyền		Mật tịch		45	0;60		11		
Hỗn Độn Tâm Pháp	0	107	14	1	10	2	428	20;40	10;20	10;20	0;10	50;100	30;50	50;100	30;50	20;30	10	\image\item\book\book_020a1.spr	\image\item\book\book_020a0.spr	Mật tịch Cái Bang Tĩnh y, ghi chép tuyệt học Ngũ Nhạc Quyền		Mật tịch		45	0;60		11		
Quý Thiên Mật tịch	0	107	15	1	10	2	408;429	60;120	30;50	10;20	0;10	30;60	20;30	40;80	20;40	20;30	10	\image\item\book\book_021a1.spr	\image\item\book\book_021a0.spr	Mật tịch Cái Bang Ô Y, ghi chép tuyệt học Quý Thiên Đại Hạp Côn		Mật tịch		45	0;60		12		
Quý Thiên Tâm Pháp	0	107	16	1	10	2	408;429	30;60	20;30	10;20	0;10	40;80	20;40	50;100	30;50	20;30	10	\image\item\book\book_022a1.spr	\image\item\book\book_022a0.spr	Mật tịch Cái Bang Ô Y, ghi chép tuyệt học Quý Thiên Đại Hạp Côn		Mật tịch		45	0;60		12		
Huyền ảnh Mật tịch	0	107	17	1	10	0	409	10;20	0;10	60;120	30;50	30;60	20;30	40;80	20;40	20;30	10	\image\item\book\book_025a1.spr	\image\item\book\book_025a0.spr	Võ Đang đạo gia, ghi chép tuyệt học ảo ảnh Vô Hình Kiếm		Mật tịch		45	0;60		14		
Huyền ảnh Tâm Pháp	0	107	18	1	10	0	409	10;20	0;10	20;40	10;20	50;100	30;50	50;100	30;50	20;30	10	\image\item\book\book_026a1.spr	\image\item\book\book_026a0.spr	Võ Đang đạo gia, ghi chép tuyệt học ảo ảnh Vô Hình Kiếm		Mật tịch		45	0;60		14		
Quân Tử Mật tịch	0	107	19	1	10	0	410;430	60;120	30;50	10;20	0;10	40;80	20;40	30;60	20;30	20;30	10	\image\item\book\book_027a1.spr	\image\item\book\book_027a0.spr	Võ Đang Tục gia, ghi chép tuyệt học Quân Tử Công		Mật tịch		45	0;60		15		
Quân Tử Tâm Pháp	0	107	20	1	10	0	410;430	40;80	20;40	10;20	0;10	60;120	30;50	30;60	20;30	20;30	10	\image\item\book\book_028a1.spr	\image\item\book\book_028a0.spr	Võ Đang Tục gia, ghi chép tuyệt học Quân Tử Công		Mật tịch		45	0;60		15		
Trấn Quân Mật tịch	0	107	21	1	10	1	426	60;120	30;50	10;20	0;10	30;60	20;30	40;80	20;40	20;30	10	\image\item\book\book_082a1.spr	\image\item\book\book_082a0.spr	Mật tịch Dương Môn Thương Kỵ, ghi chép khẩu quyết Trấn Quân Tiếu Quyết		Mật tịch		45	0;60		17		
Trấn Quân Tâm Pháp	0	107	22	1	10	1	426	40;80	20;40	10;20	0;10	30;60	20;30	60;120	30;50	20;30	10	\image\item\book\book_083a1.spr	\image\item\book\book_083a0.spr	Mật tịch Dương Môn Thương Kỵ, ghi chép khẩu quyết Trấn Quân Tiếu Quyết		Mật tịch		45	0;60		17		
Xuyên Vân Mật tịch	0	107	23	1	10	1	427;431	60;120	30;50	10;20	0;10	30;60	20;30	40;80	20;40	20;30	10	\image\item\book\book_084a1.spr	\image\item\book\book_084a0.spr	Mật tịch Dương Môn Cung Kỵ, ghi lại tuyệt học cung pháp Xuyên Vân Trụy Nguyệt Tiễn		Mật tịch		45	0;60		18		
Xuyên Vân Tâm Pháp	0	107	24	1	10	1	427;431	40;80	20;40	10;20	0;10	30;60	20;30	60;120	30;50	20;30	10	\image\item\book\book_085a1.spr	\image\item\book\book_085a0.spr	Mật tịch Dương Môn Cung Kỵ, ghi lại tuyệt học cung pháp Xuyên Vân Trụy Nguyệt Tiễn		Mật tịch		45	0;60		18		
U Minh Quỷ Lục	0	107	25	1	10	1	434;435	60;120	30;50	10;20	0;10	40;80	20;40	30;60	20;30	20;30	10	\image\item\book\ểÄÚÔạớÂẳa1.spr	\image\item\book\ểÄÚÔạớÂẳa0.spr	Mật tịch Ngũ Độc Tà Hiệp ghi lại bí truyền tà thuật U Minh ảo Quỷ Quyết		Mật tịch		45	0;60		20		
U Minh Tâm Pháp	0	107	26	1	10	1	434;435	40;80	20;40	10;20	0;10	60;120	30;50	30;60	20;30	20;30	10	\image\item\book\ểÄÚÔéÄãăa1.spr	\image\item\book\ểÄÚÔéÄãăa0.spr	Mật tịch Ngũ Độc Tà Hiệp ghi lại bí truyền tà thuật U Minh ảo Quỷ Quyết		Mật tịch		45	0;60		20		
Linh Cổ Mật tịch	0	107	27	1	10	1	436	10;20	0;10	30;60	20;30	60;120	30;50	40;80	20;40	20;30	10	\image\item\book\ÁộạặÃỉẳđa1.spr	\image\item\book\ÁộạặÃỉẳđa0.spr	Ngũ Độc Cổ Sư, ghi lại bí truyền cổ thuật linh cổ		Mật tịch		45	0;60		21		
Linh Cổ Tâm Pháp	0	107	28	1	10	1	436	10;20	0;10	30;60	20;30	40;80	20;40	60;120	30;50	20;30	10	\image\item\book\ÁộạặéÄãăa1.spr	\image\item\book\ÁộạặéÄãăa0.spr	Ngũ Độc Cổ Sư, ghi lại bí truyền cổ thuật linh cổ		Mật tịch		45	0;60		21		
Trường Quyền Phổ	0	107	51	1	10	0	450	10;20	0;10	10;20	0;10	10;20	0;10	10;20	0;10	20	10;20	\image\item\book\book_031a1.spr	\image\item\book\book_031a0.spr	Mật tịch ghi lại võ công thiên hạ.		Mật tịch		1	60				
Tượng Hình Phổ	0	107	52	1	10	2	451	20;40	10;20	10;20	0	20;30	10	20;30	10	10;20	10;20	\image\item\book\book_032a1.spr	\image\item\book\book_032a0.spr	Mật tịch quyền pháp thông dụng		Mật tịch		6	30;60				
Trung Bình Phổ	0	107	53	1	10	1	452	10;20	0	20;40	10;20	20;30	10	20;30	10	10;20	10;20	\image\item\book\book_033a1.spr	\image\item\book\book_033a0.spr	Mật tịch kiếm pháp thông dụng.		Mật tịch		6	30;60				
Khai Sơn Phổ	0	107	54	1	10	2	453	20;40	10;20	10;20	0	20;30	10	20;30	10	10;20	10;20	\image\item\book\book_034a1.spr	\image\item\book\book_034a0.spr	Mật tịch côn pháp thông dụng.		Mật tịch		6	30;60				
Khí Liệu Thuật	0	107	55	1	10	2	454	10;20	0	10;20	0	20;40	10;20	20;40	10;20	10;20	10;20	\image\item\book\book_035a1.spr	\image\item\book\book_035a0.spr	Mật tịch tâm pháp thông dụng		Mật tịch		6	30;60				
Toái Diệp Phổ	0	107	56	1	10	1	455	20;40	10;20	10;20	0	20;30	10	20;30	10	10;20	10;20	\image\item\book\book_036a1.spr	\image\item\book\book_036a0.spr	Mật tịch thuật ám khí thông dụng		Mật tịch		6	30;60				
Tụ Nguyện Công Phổ	0	107	57	1	10	0	456	20;30	10	30;60	10;30	20;40	10;20	20;40	10;20	10;20	10;20	\image\item\book\book_037a1.spr	\image\item\book\book_037a0.spr	Mật tịch cơ bản luyện nội công.		Mật tịch		20	30;60				
Huyền Thạch Công Phổ	0	107	58	1	10	0	457	30;60	10;30	20;30	10	20;40	10;20	20;40	10;20	10;20	10;20	\image\item\book\book_038a1.spr	\image\item\book\book_038a0.spr	Mật tịch cơ bản luyện ngoại công		Mật tịch		20	30;60				
Kim Thiền Phổ	0	107	59	1	10	0	458	20;40	10;20	20;40	10;20	20;40	20	20;40	20	10;30	10	\image\item\book\book_039a1.spr	\image\item\book\book_039a0.spr	Mật tịch để luyện thân pháp.		Mật tịch		30	30;60				
Tu La Mật tịch	0	107	60	1	10	0	459	30;60	20;30	30;60	20;30	20;40	10;20	20;40	10;20	20;30	10	\image\item\book\book_040a1.spr	\image\item\book\book_040a0.spr	Mật tịch hiếm có, thất truyền đã lâu ghi lại 1 môn võ công		Mật tịch		35	0;60				
Bổ Kim Mật tịch	0	107	61	1	10	0	460	30;60	10;30	20;40	20	20;40	20	20;40	20	20;30	10	\image\item\book\book_041a1.spr	\image\item\book\book_041a0.spr	Mật tịch ghi lại khẩu quyết hồi phục độ bền vũ khí		Mật tịch		40	0;60				
Bổ Thạch Mật tịch	0	107	62	1	10	0	461	20;40	20	30;60	10;30	20;40	20	20;40	20	20;30	10	\image\item\book\book_042a1.spr	\image\item\book\book_042a0.spr	Mật tịch ghi lại khẩu quyết hồi phục độ bền trang phục		Mật tịch		40	0;60				
Ngũ Quỷ Mật tịch	0	107	63	1	10	0	462	40;80	20;40	40;80	20;40	30;60	20;30	30;60	20;30	20;30	10	\image\item\book\book_043a1.spr	\image\item\book\book_043a0.spr	Mật tịch kỳ bí sai khiến ngũ quỷ		Mật tịch		45	0;60				
Thiên Hà Mật tịch	0	107	64	1	10	0	463	30;60	10;30	30;60	10;30	50;100	30;50	50;100	30;50	20;30	10	\image\item\book\book_044a1.spr	\image\item\book\book_044a0.spr	Mật tịch ghi lại khẩu quyết nội lực hộ thể làm suy giảm sự công kích của đối phương		Mật tịch		50	0;60				
Tử Hà Mật tịch	0	107	65	1	10	0	464	30;60	10;30	30;60	10;30	50;100	30;50	50;100	30;50	20;30	10	\image\item\book\book_045a1.spr	\image\item\book\book_045a0.spr	Mật tịch ghi lại khẩu quyết nội lực hộ thể làm tăng lực công kích.		Mật tịch		50	0;60				
Chiêm Y Phổ	0	107	66	1	10	0	465	50;100	30;50	50;100	30;50	40;80	20;40	40;80	20;40	20;30	10	\image\item\book\book_046a1.spr	\image\item\book\book_046a0.spr	Mật tịch ghi lại khẩu quyết nội lực hộ thể		Mật tịch		55	0;60				
Thất Thương Quyền Phổ	0	107	67	1	10	2												\image\item\book\book_047a1.spr	\image\item\book\book_047a0.spr	Ghi lại tuyệt kỹ cao thủ Tàng Linh Tử		Mật tịch		60	0				
Mặc Kinh	0	107	68	1	10	1												\image\item\book\book_048a1.spr	\image\item\book\book_048a0.spr	Mật tịch ghi lại Mặc tử kiếm pháp		Mật tịch		60	0				
Kim Đỉnh Mật tịch	0	107	69	1	10	1												\image\item\book\book_049a1.spr	\image\item\book\book_049a0.spr	Ghi lại tuyệt kỹ cao thủ Kim Đỉnh Thần Ni		Mật tịch		60	0				
Huyền Minh Mật tịch	0	107	70	1	10	2												\image\item\book\book_050a1.spr	\image\item\book\book_050a0.spr	Mật tịch ghi lại Huyền Minh Mê Hồn Côn.		Mật tịch		60	0				
Ngũ Chính Ngũ Phản Đao	0	107	71	1	10	2												\image\item\book\book_051a1.spr	\image\item\book\book_051a0.spr	Ghi lại tuyệt kỹ đao pháp, biến hóa khôn lường.		Mật tịch		60	0				
Cửu Khúc Mật tịch	0	107	72	1	10	2												\image\item\book\book_052a1.spr	\image\item\book\book_052a0.spr	Mật tịch ghi lại Cửu Khúc Hợp Nhất Côn, oai lực dũng mãnh		Mật tịch		60	0				
Tiểu Lý Tâm Kinh	0	107	73	1	10	1												\image\item\book\book_053a1.spr	\image\item\book\book_053a0.spr	Ghi lại tuyệt kỹ ám khí của Lý Thám Hoa.		Mật tịch		60	0				
ảnh Nguyệt Mật tịch	0	107	74	1	10	1												\image\item\book\book_054a1.spr	\image\item\book\book_054a0.spr	Mật tịch ghi lại ảnh Nguyệt Tật Phong Quyết		Mật tịch		60	0				
Nhất Dương Chỉ	0	107	75	1	10	2												\image\item\book\book_055a1.spr	\image\item\book\book_055a0.spr	Ghi lại tuyệt kỹ võ học hoàng tộc họ Đoàn		Mật tịch		60	0				
Thiên Sát Khúc Phổ	0	107	76	1	10	1												\image\item\book\book_056a1.spr	\image\item\book\book_056a0.spr	Ghi lại tuyệt kỹ Lục Chỉ Cầm Ma.		Mật tịch		60	0				
Long Tượng Bát Nhã kinh	0	107	77	1	10	2												\image\item\book\book_057a1.spr	\image\item\book\book_057a0.spr	Ghi lại tuyệt kỹ cao thủ Liên Hoa Sinh.		Mật tịch		65	0				
Lăng Ba Vi Bộ	0	112	78	1	10	0	477	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_058a1.spr	\image\item\book\book_058a0.spr	Ghi lại tuyệt kỹ Lăng Ba Vi Bộ.		Mật tịch		60	0	1			 ”Lăng Ba Vi Bộ\' là tuyệt học thượng thừa của Tiêu Dao phái, lấy 64 quẻ phương vị trong Dịch Kinh làm gốc, hình thành 1 vòng tròn Bát Quái, biến hóa khôn lường, người ngộ tính không cao sẽ không tu luyện được. Lăng Ba Vi Bộ quy tụ vũ trụ vật vạn vào 1 điểm, ngàn con suối về 1 mối nhưng động tác vẫn nhanh nhẹn thanh thoát, như đang lướt đi trên mặt nước. Bộ pháp này mượn sức mạnh Càn Khôn, ngự khí ở từng bước đi, luân chuyển nhất quán. Nhưng nếu giữa chừng gặp trở ngại, kinh mạch sẽ rối loạn, nội lực và khí tích tụ khiến toàn thân tê liệt, nguy hiểm khôn lường. Phải hết sức thận trọng.
Long Phụng Bảo Điển	0	107	79	1	10	0												\image\item\book\book_059a1.spr	\image\item\book\book_059a0.spr	Ghi lại tuyệt kỹ Song Kiếm Hợp Bích.		Mật tịch		60	0				
Long Hoàng Bảo Điển	0	107	80	1	10	0												\image\item\book\book_060a1.spr	\image\item\book\book_060a0.spr	Mật tịch ghi lại võ công Long Hoàng Bá Thiên Lệnh.		Mật tịch		65	0				
Càn Khôn bảo điển	0	107	81	1	10	0												\image\item\book\book_061a1.spr	\image\item\book\book_061a0.spr	Ghi lại tuyệt kỹ của Minh Giáo.		Mật tịch		70	0				
Bắc Minh Bảo Điển	0	107	82	1	10	0												\image\item\book\book_062a1.spr	\image\item\book\book_062a0.spr	Ghi lại tuyệt kỹ Bắc Minh Thần Công.		Mật tịch		80	0				
Thái Huyền Bảo Điển	0	107	83	1	10	0												\image\item\book\book_063a1.spr	\image\item\book\book_063a0.spr	Ghi lại tuyệt kỹ của Thanh Liên Cư Sĩ		Mật tịch		80	0				
Dịch Cân Kinh	0	112	101	1	10	0	32	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_068a1.spr	\image\item\book\book_068a0.spr	Mật tịch Thiếu Lâm, do tổ sư Đạt Ma truyền lại.		Mật tịch		85	30				Đạt Ma sáng lập Thiền Tông là nhờ có Phật tâm. Nhất niệm bất khởi vi tọa, kiến bản tính bất loạn vi thiền; ngoại bất trác tướng vi thiền, nội bất loạn vi định. Ngoại thiền nội định, nên còn được gọi là thiền định. Thiếu Lâm Đạt Ma viện có 72 tuyệt kỹ, là thánh địa võ học, Thiếu Lâm từ xưa thờ Phật, lấy Phật làm gốc, võ học cũng có chung nguồn gốc với Phật. Kinh mạch dịch chuyển là trái với đạo thường. Khí sinh da thịt và ẩn tàng trong kinh mạch, kinh mạch biến đổi nhưng khí không suy suyễn, cũng như tấm lòng hướng phật của đệ tử tục gia. Mạch phân âm dương, tuần hoàn bất tận. Vận khí chí dương bổ trợ Khôn nhu để luyện thành Bất diệt kim thân. Vận hành \'khí, mạch, luân\' hợp nhất với Phật, uy lực vô song.
Như Lai Kinh	0	112	102	1	10	0	44	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_069a1.spr	\image\item\book\book_069a0.spr	Mật tịch Thiếu Lâm, biến ảo khôn lường tựa Như Lai nghìn tay.		Mật tịch		85	30				Đạt Ma sáng lập Thiền Tông là nhờ có Phật tâm. Nhất niệm bất khởi vi tọa, kiến bản tính bất loạn vi thiền; ngoại bất trác tướng vi thiền, nội bất loạn vi định. Ngoại thiền nội định, nên còn được gọi là thiền định. Thiếu Lâm Đạt Ma viện có 72 tuyệt kỹ, là thánh địa võ học, Thiếu Lâm từ xưa thờ Phật, lấy Phật làm gốc, võ học cũng có chung nguồn gốc với Phật. Như Lai Thần Chưởng bao trùm tất cả, quy tụ nguyên tinh trời đất, vận hành âm dương vạn linh, bao hàm càn khôn thái hư, phóng thích thần lực mạnh mẽ, uy lực vô cùng.
Tẩy Tủy Kinh	0	112	103	1	10	0	57	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_070a1.spr	\image\item\book\book_070a0.spr	Mật tịch Thiếu Lâm, do Đạt Ma tổ sư truyền lại.		Mật tịch		85	30				Đạt Ma sáng lập Thiền Tông là nhờ có Phật tâm. Nhất niệm bất khởi vi tọa, kiến bản tính bất loạn vi thiền; ngoại bất trác tướng vi thiền, nội bất loạn vi định. Ngoại thiền nội định, nên còn được gọi là thiền định. Thiếu Lâm Đạt Ma viện có 72 tuyệt kỹ, là thánh địa võ học, Thiếu Lâm từ xưa thờ Phật, lấy Phật làm gốc, võ học cũng có chung nguồn gốc với Phật. Tủy, tinh khí chi sở tại, Tẩy Tủy, tức thoát thai hoán cốt. 
Hấp Tinh Mật tịch	0	112	104	1	10	0	74	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_071a1.spr	\image\item\book\book_071a0.spr	Đường Môn, ghi chép tuyệt kỹ sử dụng cơ quan, biến hóa khôn lường		Mật tịch		85	30				Con người sinh ra có tinh khí, tinh khí đủ mới sinh cốt tủy, kinh mạch da thịt... Tinh khí là nguyên thần của con người, là cái gốc của cuộc sống. Tinh sinh khí, khí sinh nội lực, nội lực được sinh ra ắt cũng có lúc tiêu hao, Đường Môn sở trường thiết lập cơ quan cạm bẫy, tinh thông cách thức vận hành tinh huyết kinh mạch, đã tạo ra Hấp Tinh trận, một khi kẻ địch rơi vào cạm bẫy, sẽ mất dần nội lực, thần trí bất định, khí mạch không thông, dễ dàng bị chế phục.
Vạn Tướng mật tịch	0	112	105	1	10	0	89	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_063a1.spr	\image\item\book\book_063a0.spr	Mật tịch Nga My, thiên nhân hợp nhất, vạn tướng quy nguyên, thoát ly khổ hải		Mật tịch		85	30				Phật pháp có \'vô giả\', tức vô tâm vô vạn tướng. Nga My kết duyên với Phật, vạn tướng vô biên, khổ độ chúng sinh. Phật gia có tam mật, phân biệt là thân - khẩu - ý, thân tức khẩu, khẩu tức ý, ý tức thân, tuy phân chia nhưng thực chất vẫn là 1. Vô Tướng Thần Công, đề cao cảnh giới thiên nhân hợp nhất, lập thân thành phật. Luyện Vạn Tướng Thần Công phải quy vạn tướng về 1 mối, thấu hiểu cái khổ của chúng sinh, tấm lòng từ bi, xả thân quên mình, nghiệm ra chân lý được - mất.
Thiên Âm Trấn Hồn Phổ	0	112	106	1	10	0	102	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_073a1.spr	\image\item\book\book_073a0.spr	Mật tịch Nga My, khiến đối phương không thể thi triển võ công.		Mật tịch		85	30				Âm giả, ý dã, kê khang u phẫn, phù quảng lăng nhi tự tích; chung kỳ ký ngộ, tấu lưu thuỷ dĩ tuyệt cầm. Nhiên ca chung luật độ, thiều âm tận mỹ, nhã tấu khắc hài, thượng khả dụ thiên giáng thần, hạ khả di phong biến tục. Hồn giả, thần dã, tâm dục an tĩnh, lự dục thâm viễn . Tâm tĩnh tắc thần sách sinh, lự viễn tắc kế mưu thành. Ma niệm hỗn sinh, mạch vặn tâm loạn . Doanh doanh tràng tràng hình như nga đầu dạ chúc, hôn hôn ngạc ngạc vưu chi đăng xúc hiểu song, tri vãng nhi bất tri phản, tri tiến bất tri thoái. Thiêu nhiên chi gian công lực tận thất, thần chí toàn hôn. Nhật mộ đồ viễn, vô bất đảo hành, thể mạo như thân cư ách địa, mông mông muội muội, vong thiên địa chi cương, âm dương chi phòng, doanh doanh nhiên xuân nhược du hồn, bất tri sở chung, bất tri sở vãng.
Giáng Long Chưởng Phổ	0	112	107	1	10	0	113	0	0	0	0	0	0	0	0	0	0	\image\item\book\ẵàÁỳÃỉẳđa1.spr	\image\item\book\ẵàÁỳÃỉẳđa0.spr	Mật tịch Cái Bang Giáng Long Thập Bát Chưởng, thiên hạ vô song.		Mật tịch		85	30				Giáng Long Thập Bát Chưởng là tuyệt học Cái Bang, chiêu thức đều có nguồn gốc từ \'Dịch Kinh\', khí mạch thông suốt ắt nội lực vô biên, uy lực vô song.
Đả Cẩu Trận Phổ	0	112	108	1	10	0	124	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_075a1.spr	\image\item\book\book_075a0.spr	Mật tịch Cái Bang, tạo nên trận thế lấy yếu thắng mạnh.		Mật tịch		85	30				Trong thiên hạ, trận pháp đòi hỏi sự đồng lòng chung sức nhất chính là tuyệt học của Cái Bang - Đả Cẩu côn trận. Tuy tên gọi thô tục nhưng Đả Cẩu côn trận uy lực vô biên, lưu chuyển tinh vi, chiêu thuật huyền ảo, tận dụng sở trường biến hóa khôn lường của Đả Cẩu côn pháp, dùng số lượng đông đảo để bù đắp khiếm khuyết cho nhau.
Thái Cực Kiếm Kinh	0	112	109	1	10	0	146	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_076a1.spr	\image\item\book\book_076a0.spr	Mật tịch Võ Đang, lấy nhu khắc cương, công thủ toàn diện.		Mật tịch		85	30				Thiên hạ vạn vật sinh vu hữu, hữu sinh vu vô, hỗn độn vô cực, hậu hữu thái cực. Thái cực sinh Lưỡng Nghi, Lưỡng Nghi sinh Tứ Tượng, Tứ Tượng sinh Bát Quái, Thái Cực động nhi Âm Dương sinh, Âm Dương sinh nhi Ngũ Hành thủy, Ngũ Hành thủy nhi vạn sự xuất. Võ Đang dĩ đạo lập phái, dĩ Thái Cực tự nhiên nhi tu, tham nhật nguyệt lưu chuyển chi kỳ, đoạt thiên địa tạo hóa chi công. Võ Đang tu hành giả, dĩ kiếm ngự khí, dĩ tu nội công nhi tham thiên địa tự nhiên.Vô Thượng Thái Cực Kiếm đắc thần đắc không, tàng thiên địa nhật nguyệt chi thần, vận Tứ Tượng Bát Quái chi không; dĩ giao thác hợp ngưng vi chất, dĩ tuần hoàn huyễn hóa vi khí; chất viết thủy hỏa mộc kim, âm dương tương gian chi đối trĩ; khí viết mộc hỏa kim thủy, âm dương tương ân chi lưu hành. Kiếm vũ khí động tứ phương, kiếm ảnh mạn nhược lưu quang, sở đáo chi xứ nhược viêm phong chi cuồng tảo, ba cập chi địa nhược diệm lôi chi oanh minh, nhược thiên vũ chi bạo liệt, uy bách sơn sắc tự tang, thiên địa đê ngang.
