Tên	Loại hình chính	Loại hình phụ	Phân loại chi tiết	Nặng	Giá	Sếp chồng nhiều nhất	Hồi phục thuộc tính1	Trị số phục hồi thuộc tính mỗi nữa giây (1)	Hồi phục thuộc tính2	Trị số phục hồi thuộc tính mỗi nữa giây (2)	Hồi phục thuộc tính3	Trị số phục hồi thuộc tính mỗi nữa giây (3)	Hồi phục thuộc tính4	Trị số phục hồi thuộc tính mỗi nữa giây (4)	Thời gian duy trì hiệu lực (Số chẵn)	Lưu ( Chữ số)	Lưu ( Chữ số)	Hiện hình nhỏ trên giao diện	Hiện hình lớn trên giao diện	Thuyết minh	Lưu (chuỗi ký tự)	Khi vứt ra ngoài sẽ hiển thị tên	File gốc	Cấp	Có/không thể giao dịch (0 được,1 không được,)	Có/không thể vứt (0 được; 1 không được)	Lưu 2	Lưu 3
Mật hàm Cái Bang	2	0	11	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Vốn là mật hàm của các thám tử Cái Bang, không biết vì sao rơi vào tay tên lưu manh.		Nhiệm vụ		1	2	1		
Kim Cang Hổ Nha	2	0	12	2	0	1												\image\item\other\coll_003a1.spr	\image\item\other\coll_003a0.spr	Răng mãnh hổ ở Thiếu Thất sơn, là vật liệu đúc tạo vũ khí đặc biệt của thợ rèn Biện Kinh.		Nhiệm vụ		1	2	1		
Hành trang thất lạc	2	0	13	2	0	1												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	Hành trang thất lạc của dân làng gần Thành Đô khi bị heo rừng tấn công.		Nhiệm vụ		1	2	1		
Dã Trư Quỷ Nha	2	0	14	2	0	1												\image\item\other\coll_003a1.spr	\image\item\other\coll_003a0.spr	Nanh thần bí, xung quanh phát ra ánh sáng xanh nhạt.		Nhiệm vụ		1	2	1		
Bình nhỏ	2	0	15	2	0	1												\image\item\other\coll_029a1.spr	\image\item\other\coll_029a0.spr	Bình nhỏ đựng nước suối dùng để pha trà.		Nhiệm vụ	\script\task\world\ox_quest\the_black_blood\Step001_002_³ẫảẳ±±ẵẳéĂặ¿ìể.lua	1	2	1		
Máu đen	2	0	16	2	0	1												\image\item\other\coll_029a1.spr	\image\item\other\coll_029a0.spr	Bình nhỏ chứa máu đen.		Nhiệm vụ		1	2	1		
Lệnh bài Bộ Đầu	2	0	17	2	0	1												\image\item\other\quest_008a1.spr	\image\item\other\quest_008a0.spr	Lệnh bài của bộ đầu ở Thành Đô.		Nhiệm vụ		1	2	1		
Thư của Thời Thiên 1	2	0	18	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Thư do Thời Thiên viết cho bằng hữu		Nhiệm vụ		1	2	0		
Mật thư Triều đình	2	0	19	2	0	1												\image\item\other\secr_019a1.spr	\image\item\other\secr_019a0.spr	Ghi nhiều tin tức bất lợi cho giang hồ lục lâm hảo hán.		Nhiệm vụ		1	2	0		
Thủ cấp quan binh	2	0	20	2	0	1												\image\item\other\quest_011a1.spr	\image\item\other\quest_011a0.spr	Thủ cấp quan binh		Nhiệm vụ		1	2	0		
Không Không Diệu Thủ	2	0	21	2	0	1												\image\item\other\coll_074a1.spr	\image\item\other\coll_074a0.spr	Bao tay diệu thủ không không của Thời Thiên.		Nhiệm vụ		1	2	0		
Thư của Thời Thiên 2	2	0	22	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Thư do Thời Thiên viết cho bằng hữu		Nhiệm vụ		1	2	0		
Thư của Thời Thiên 3	2	0	23	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Thư do Thời Thiên viết cho bằng hữu		Nhiệm vụ		1	2	0		
Trung Thư Lệnh	2	0	24	2	0	1												\image\item\other\quest_009a1.spr	\image\item\other\quest_009a0.spr	Lệnh bài chứng minh chức quan Trung Thư.		Nhiệm vụ		1	2	0		
Cờ lệnh	2	0	25	2	0	1												\image\item\other\quest_010a1.spr	\image\item\other\quest_010a0.spr	Cờ lớn của cấm quân trong Triều đình.		Nhiệm vụ		1	2	0		
Lụa vàng	2	0	26	2	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Mảnh lụa vàng có thêu hình rồng.		Nhiệm vụ		1	2	0		
Tống Hà phù	2	0	27	2	0	1												\image\item\other\quest_009a1.spr	\image\item\other\quest_009a0.spr	Con dân Đại Tống: Tống Hà		Nhiệm vụ		1	2	0		
Lý Quỷ phù	2	0	28	2	0	1												\image\item\other\quest_009a1.spr	\image\item\other\quest_009a0.spr	Con dân Đại Tống: Lý Quỷ		Nhiệm vụ		1	2	0		
Cẩm nang nhiệm vụ	2	0	29	2	0	1												\image\item\other\quest_012a1.spr	\image\item\other\quest_012a0.spr	Xem quá trình thực hiện nhiệm vụ của mình. Có thể nhận hoặc hủy bỏ nhiệm vụ.		Nhiệm vụ	\script\item\task_pack.lua	1	0	0		
Dược của Lãnh đại phu	2	0	30	2	0	1												\image\item\usable\heal_002a1.spr	\image\item\usable\heal_002a0.spr	Đơn dược của Lãnh đại phu bào chế cho Tiểu Hổ nương.		Nhiệm vụ		1	2	1		
Tàng Kiếm anh hùng thiếp	2	0	31	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Thư của Tàng Kiếm sơn trang mời quần hùng thiên hạ.<enter><color=Gold>(Đội trưởng mang theo để dẫn đội đến Tàng Kiếm sơn trang)		Nhiệm vụ		1	0	1		
Sổ Sách	2	0	32	2	0	1												\image\item\other\coll_024a1.spr	\image\item\other\coll_024a0.spr	Sổ ghi chép việc mua bán của Vương Nghiệp Vĩ.		Nhiệm vụ		1	2	0		
Cây ngãi	2	0	33	2	0	999												\image\item\usable\medi_002a1.spr	\image\item\usable\medi_002a0.spr	Vị đắng, có tác dụng thanh nhiệt giải độc.		Nhiệm vụ		1	2	0		
Rễ sắn	2	0	34	2	0	999												\image\item\usable\medi_005a1.spr	\image\item\usable\medi_005a0.spr	Vị ngọt , thanh nhiệt, có tác dụng giải độc, trị bệnh.		Nhiệm vụ		1	2	0		
Bội lan	2	0	35	2	0	999												\image\item\usable\medi_003a1.spr	\image\item\usable\medi_003a0.spr	Mát gan, giải độc.		Nhiệm vụ		1	2	0		
Liên Kiều	2	0	36	2	0	999												\image\item\usable\medi_010a1.spr	\image\item\usable\medi_010a0.spr	Có 3 công dụng tuyệt diệu: thanh nhiệt, giải độc, trị thương.		Nhiệm vụ		1	2	0		
Kim Ngân Hoa	2	0	37	2	0	999												\image\item\usable\medi_002a1.spr	\image\item\usable\medi_002a0.spr	Hương thơm, vị ngọt, có công dụng giải độc thanh nhiệt.		Nhiệm vụ		1	2	0		
Mảnh giấy	2	0	38	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Nét chữ trên giấy bị mờ, chẳng biết viết gì trên đó.		Nhiệm vụ		1	2	0		
Dã trư mao	2	0	39	2	0	1												\image\item\other\coll_001a1.spr	\image\item\other\coll_001a0.spr	Lông heo rừng cực mịn, rất khó tìm		Nhiệm vụ		1	2	0		
Mật hàm Chương Vĩ Cang	2	0	40	2	0	1												\image\item\other\secr_019a1.spr	\image\item\other\secr_019a0.spr	Mật thư của Chương Vĩ Cương, ảnh hưởng rất lớn đến giang hồ.		Nhiệm vụ	\script\task\world\lizhi_ẩêệí\task_letter.lua	1	2	0		
Thư tín 1	2	0	41	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Thư Hạ Hầu Cầm gửi họ Gia		Nhiệm vụ		1	2	0		
Thứ tín 2	2	0	42	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Thư Hạ Hầu Cầm gửi Tôn Thư.		Nhiệm vụ		1	2	0		
Thư tín 3	2	0	43	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Thư Hạ Hầu Cầm gửi họ Triệu		Nhiệm vụ		1	2	0		
Hoàng Hổ Linh Cốt	2	0	44	2	0	1												\image\item\other\coll_023a1.spr	\image\item\other\coll_023a0.spr	Hổ cốt quý hiếm dùng bào chế thuốc rất tốt.		Nhiệm vụ		1	2	0		
Hổ Cốt Linh Phấn	2	0	45	2	0	1												\image\item\usable\heal_017a1.spr	\image\item\usable\heal_017a0.spr	Thuốc bào chế từ Hoàng Hổ Linh Cốt.		Nhiệm vụ		1	2	0		
Côn đồ khẩu cung	2	0	46	2	0	5												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Lời khai của Côn đồ		Nhiệm vụ		1	2	0		
Mịch Tông Cổ	2	0	47	2	0	1												\image\item\other\coll_055a1.spr	\image\item\other\coll_055a0.spr	Bí thuật gia truyền của Bách Thảo Ông chế tạo, có thể khống chế được các loại độc trùng		Nhiệm vụ	\script\task\world\lizhi_óờắâ\task_trigger.lua	1	2	0		
Thư gửi Triệu Diên Niên	2	0	48	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Thư Dã Tẩu gửi Triệu Diên Niên		Nhiệm vụ		1	2	0		
Thư Triệu Diên Niên	2	0	49	2	0	3												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Thư họ Triệu đích thân viết.		Nhiệm vụ		1	2	0		
Mật thư của Tiêu Hàn	2	0	50	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Mật thư Tiêu Hàn mang theo.		Nhiệm vụ		1	2	0		
Trường Môn Sách	2	0	51	2	0	9												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Ghi chép tên các nhân vật trong Trường Ca Môn.		Nhiệm vụ		1	2	0		
Thiên Âm Giáo tạp thư	2	0	52	2	0	9												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Ghi chép chuyện ở Thiên Âm giáo.		Nhiệm vụ		1	2	0		
Xi Hỏa giáo dân tục	2	0	53	2	0	9												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Ghi chép các phong tục ở Xi Hỏa giáo.		Nhiệm vụ		1	2	0		
Bí mật Nhất Phẩm Đường	2	0	54	2	0	9												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Ghi chép chuyện ở Nhất Phẩm Đường.		Nhiệm vụ		1	2	0		
Hổ Cốt	2	0	55	2	0	10												\image\item\other\coll_023a1.spr	\image\item\other\coll_023a0.spr	Xương đầu Hổ có thể bào chế thuốc.		Nhiệm vụ		1	2	0		
Cờ tiêu cục	2	0	56	2	0	1												\image\item\other\quest_010a1.spr	\image\item\other\quest_010a0.spr	Lá cờ đã rách nát.		Nhiệm vụ		1	2	0		
Hàng hóa bị mất	2	0	57	2	0	20												\image\item\other\secr_027a1.spr	\image\item\other\secr_027a0.spr	Hàng hóa bị Liệp Hộ cướp mất.		Nhiệm vụ		1	2	0		
Lệnh bài Sơn trang	2	0	58	2	0	1												\image\item\other\skius_008a1.spr	\image\item\other\skius_008a0.spr	Lệnh bài ra vào Mộ Tuyết sơn trang		Nhiệm vụ		1	2	0		
Danh bài	2	0	59	2	0	1												\image\item\other\skius_010a1.spr	\image\item\other\skius_010a0.spr	Danh bài lấy được ở Thất Tinh động.		Nhiệm vụ		1	2	0		
Thư gửi Thác Bạt Kỳ	2	0	60	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Thư gửi Thác Bạt Kỳ ở Kiếm Môn Quan.		Nhiệm vụ		1	2	0		
Tây Hạ bố trận đồ	2	0	61	2	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Bản đồ bố trí quân của Tây Hạ.		Nhiệm vụ		1	2	0		
Mật thư Tây Hạ	2	0	62	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Mật thư mang theo của Tây Hạ tướng lĩnh.		Nhiệm vụ		1	2	0		
Nhất Phẩm bài	2	0	63	2	0	10												\image\item\other\skius_012a1.spr	\image\item\other\skius_012a0.spr	Chứng minh là thành viên của Nhất Phẩm Đường		Nhiệm vụ		1	2	0		
Dược phẩm thần bí	2	0	64	2	0	1												\image\item\usable\heal_018a1.spr	\image\item\usable\heal_018a0.spr	Thuốc tùy thân của Gia Luật Bá Nham.		Nhiệm vụ		1	2	0		
Mê Hồn Hương	2	0	65	2	0	10												\image\item\usable\heal_018a1.spr	\image\item\usable\heal_018a0.spr	Thuốc tùy thân của các Nữ Kiếm khách.		Nhiệm vụ		1	2	0		
Thuốc giải độc	2	0	66	2	0	5												\image\item\usable\heal_018a1.spr	\image\item\usable\heal_018a0.spr	Có thể giải độc tính của Bi Tô Thanh Phong.		Nhiệm vụ		1	2	0		
Công Văn Liêu Quốc	2	0	67	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Công văn Liêu Quốc tìm được trong rương chứa độc dược.		Nhiệm vụ		1	2	0		
Hắc Thiên Nhãn châu	2	0	68	2	0	10												\image\item\other\coll_108a1.spr	\image\item\other\coll_108a0.spr	Hạt châu màu đen của Tây Hạ tăng nhân mang theo người.		Nhiệm vụ		1	2	0		
Bản đồ Phục Ngưu sơn	2	0	69	2	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Đánh dấu phân bố của Liêu Quốc.		Nhiệm vụ		1	2	0		
Thuốc nổ	2	0	70	2	0	1												\image\item\other\coll_110a1.spr	\image\item\other\coll_110a0.spr	Trang bị hỏa công trong quân, có thể phá hủy kiến trúc, kho lương của địch		Nhiệm vụ	\script\task\world\lizhi_ẽồẹụ\Item_hy.lua	1	2	0		
Mật thư Thiên Âm giáo	2	0	71	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Mật thư Thiên Âm giáo tìm được trong doanh trại phe Liêu.		Nhiệm vụ		1	2	0		
Mật thư Nhất Phẩm Đường	2	0	72	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Mật thư Nhất Phẩm Đường tìm được trên người tăng nhân Tây Hạ		Nhiệm vụ		1	2	0		
Mật thư Lương Sơn	2	0	73	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Mật thư trên người Đầu lĩnh Sơn tặc		Nhiệm vụ		1	2	0		
Thổ Lang Cốt	2	0	74	2	0	10												\image\item\other\coll_023a1.spr	\image\item\other\coll_023a0.spr	Xương tiểu thổ lang có thể bào chế dược liệu.		Nhiệm vụ		1	2	0		
Thanh Lang Cốt	2	0	75	2	0	10												\image\item\other\coll_023a1.spr	\image\item\other\coll_023a0.spr	Xương sói xanh có thể bào chế dược liệu.		Nhiệm vụ		1	2	0		
Tử Tinh Hoa	2	0	76	2	0	10												\image\item\other\secr_004a1.spr	\image\item\other\secr_004a0.spr	Hoa tím nhỏ có 5 cánh, có thể bào chế dược liệu.		Nhiệm vụ		1	2	0		
Lang Cốt Tửu	2	0	77	2	0	1												\image\item\other\coll_012a1.spr	\image\item\other\coll_012a0.spr	Rượu thuốc đặc chế của Đường Môn, rất thơm ngon, giúp cường tráng thân thể.		Nhiệm vụ		1	2	0		
Tín vật Trọng Yêm	2	0	78	2	0	1												\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	Ngọc bội Phạm Trọng Yêm		Nhiệm vụ		1	2	0		
Hành trang thất lạc	2	0	79	2	0	1												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	Hành lý bị mất của đệ tử Cái Bang.		Nhiệm vụ		1	2	0		
Thư gửi Phạm Trọng Yêm	2	0	80	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Thư Hồng Thất Cái Bang gửi cho Phạm Trọng Yêm.		Nhiệm vụ		1	2	0		
Thư gửi Trần Phi Dương	2	0	81	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Thư Gia Cát Kỳ gửi Phi Dương.		Nhiệm vụ		1	2	0		
Lang Huyết	2	0	82	2	0	2												\image\item\usable\heal_004a1.spr	\image\item\usable\heal_004a0.spr	Có thể bào chế thuốc, dùng trị ngoại thương rất công hiệu.		Nhiệm vụ		1	2	0		
Túi pháp khí	2	0	83	2	0	1												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	Túi Pháp khí trừ yêu của Trần Phi Dương gửi Gia Cát Kỳ.		Nhiệm vụ		1	2	0		
Tỏa Yêu Chung	2	0	84	2	0	1												\image\item\cloth\tool_008a1.spr	\image\item\cloth\tool_008a0.spr	Pháp bảo do Trương Thiên Sư chế luyện, có thể nhốt hồn phách của yêu ma vào trong.		Nhiệm vụ		1	2	0		
Oan hồn Hủ Thi	2	0	85	2	0	25												\image\item\other\coll_091a1.spr	\image\item\other\coll_091a0.spr	Hồn phách của Hủ Thi bị nhốt trong Tỏa Yêu Chung kết tinh thành màu xanh lục.		Nhiệm vụ		1	2	0		
Oan hồn Hành thi	2	0	86	2	0	15												\image\item\other\coll_032a1.spr	\image\item\other\coll_032a0.spr	Hồn phách của Hành thi bị nhốt trong Tỏa Yêu Chung kết tinh thành màu hồng.		Nhiệm vụ		1	2	0		
Vọng Giang Hồng	2	0	87	2	0	10												\image\item\other\coll_076a1.spr	\image\item\other\coll_076a0.spr	Loài hoa dại màu hồng mọc gần Giang Tân thôn rất đẹp.		Nhiệm vụ		1	2	0		
Lông quạ đen	2	0	88	2	0	4												\image\item\other\coll_109a1.spr	\image\item\other\coll_109a0.spr	Có thể dùng để chế mực.		Nhiệm vụ		1	2	0		
Bức thư	2	0	89	2	0	1												\image\item\other\coll_111a1.spr	\image\item\other\coll_111a0.spr	Bức thư đã bị mở, tên người nhận là chưởng môn Trường Ca Môn		Nhiệm vụ		1	2	0		
Phong thư 1	2	0	90	2	0	1												\image\item\other\slife_001a1.spr	\image\item\other\slife_001a0.spr	Trang thư đầu tiên Tống Giang viết gửi Trường Ca Môn.		Nhiệm vụ		1	2	0		
Phong thư 2	2	0	91	2	0	1												\image\item\other\slife_001a1.spr	\image\item\other\slife_001a0.spr	Trang thư thứ 2 gửi Trường Ca Môn.		Nhiệm vụ		1	2	0		
Phong thư 3	2	0	92	2	0	1												\image\item\other\slife_001a1.spr	\image\item\other\slife_001a0.spr	Trang thư thứ 3 gửi Trường Ca Môn.		Nhiệm vụ		1	2	0		
Phong thư 4	2	0	93	2	0	1												\image\item\other\slife_001a1.spr	\image\item\other\slife_001a0.spr	Trang thư thứ 4 gửi Trường Ca Môn.		Nhiệm vụ		1	2	0		
Mảnh đồng	2	0	94	2	0	8												\image\item\other\secr_009a1.spr	\image\item\other\secr_009a0.spr	Mảnh đồng phía trên có khắc chữ kỳ quái.		Nhiệm vụ		1	2	0		
Di thư Trần Phi Dương 1	2	0	95	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Di thư Trần Phi Dương muốn gửi cho phương trượng Thiếu Lâm.		Nhiệm vụ		1	2	0		
Di thư Trần Phi Dương 2	2	0	96	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Di thư Trần Phi Dương muốn gửi cho chưởng môn Cái Bang.		Nhiệm vụ		1	2	0		
Đùi heo rừng	2	0	97	2	0	10												\image\item\usable\edib_001a1.spr	\image\item\usable\edib_001a0.spr	Đùi heo rừng thường dùng để cúng tế.		Nhiệm vụ		1	2	0		
Sinh Thiết	2	0	98	2	0	20												\image\item\other\smeta_001a1.spr	\image\item\other\smeta_001a0.spr	Nguyên vật liệu quan trọng dùng đúc tạo binh khí.		Nhiệm vụ		1	2	0		
Thiềm Tô	2	0	99	2	0	10												\image\item\usable\heal_028a1.spr	\image\item\usable\heal_028a0.spr	Dược liệu cực quý chiết từ cóc độc		Nhiệm vụ		1	2	0		
Phi Bộc Kim Châm	2	0	100	2	0	1												\image\item\other\skius_005a1.spr	\image\item\other\skius_005a0.spr	ám khí cao cấp đặc biệt của Đường Môn		Nhiệm vụ	\script\task\world\lizhi_ẹùệí\task_fpjz.lua	1	2	0		
Dữ Thê thư	2	0	101	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Thư viết gửi vợ của Lôi Thắng		Nhiệm vụ	\script\task\world\lizhi_ẹùệí\task_yqs.lua	1	2	0		
Thiên Hạt Vĩ Châm	2	0	102	2	0	20												\image\item\other\coll_112a1.spr	\image\item\other\coll_112a0.spr	Cực phẩm chứa nhiều chất độc.		Nhiệm vụ		1	2	0		
Mảnh trái Bản đồ thần bí	2	0	103	2	0	1												\image\item\other\secr_024a1.spr	\image\item\other\secr_024a0.spr	Có ghi chép tin tức quan trọng.		Nhiệm vụ		1	2	0		
Mảnh phải Bản đồ thần bí	2	0	104	2	0	1												\image\item\other\secr_024a1.spr	\image\item\other\secr_024a0.spr	Có ghi chép tin tức quan trọng.		Nhiệm vụ		1	2	0		
Bản đồ Thần bí	2	0	105	2	0	1												\image\item\other\secr_024a1.spr	\image\item\other\secr_024a0.spr	Phải chăng bên trong có ẩn chứa điều quan trọng?		Nhiệm vụ	\script\task\world\lizhi_ẹùệí\task_smdt.lua	1	2	0		
Bảo vật thần bí	2	0	106	2	0	1												\image\item\other\secr_027a1.spr	\image\item\other\secr_027a0.spr	Vật hộ mạng quan trọng của Lôi Thắng.		Nhiệm vụ		1	2	0		
Tống anh hùng lệnh	2	0	107	1	0	100												\image\item\other\holi_022a1.spr	\image\item\other\holi_022a0.spr	Dùng Đại Tống anh hùng lệnh đến Nhạn Môn Quan báo danh phe Tống.		Nhiệm vụ	\script\item\heroling_song.lua	1	0	0		
Liêu anh hùng lệnh	2	0	108	1	0	100												\image\item\other\quest_008a1.spr	\image\item\other\quest_008a0.spr	Dùng Đại Liêu anh hùng lệnhđến Nhạn Môn quan báo danh phe Liêu.		Nhiệm vụ	\script\item\heroling_liao.lua	1	0	0		
Bồng Lai Tiên Lộ	2	0	109	1	0	1												\image\item\other\quest_035a1.spr	\image\item\other\quest_035a0.spr	Dược thủy từ Bồng Lai tiên đảo.<enter><color=Gold>Đánh quái nhân 2 kinh nghiệm trong 2 giờ		Thần bí	\script\item\xiancao.lua	1	0	1		
Hội Minh Lệnh Bài	2	0	125	1	0	1												\image\item\other\skius_008a1.spr	\image\item\other\skius_008a0.spr	<enter><color=Gold>Vật phẩm cần thiết để sáng lập bang hội		Nhiệm vụ		1	0	0		
Huyền Kim Tinh Khoáng	2	0	126	1	0	1												\image\item\other\meta_005a1.spr	\image\item\other\meta_005a0.spr	Kim loại quý trong Linh Nham động được nhiều thợ rèn danh tiếng dùng khảm nạm bảo đao.		Nhiệm vụ		1	0	1		
Thần Vương Mộc	2	0	127	1	0	1												\image\item\other\wood_005a1.spr	\image\item\other\wood_005a0.spr	Cổ thụ ngàn năm chỉ có ở Hội Tiên Lĩnh.		Nhiệm vụ		1	0	1		
Độn Long Bảo Đao	2	0	128	1	0	1												\image\item\other\quest_036a1.spr	\image\item\other\quest_036a0.spr	Bảo đao của Dương Lệnh Công đã dùng, có uy lực dũng mãnh.		Nhiệm vụ		1	0	1		
Lông chim loan	2	0	129	1	0	1												\image\item\other\orskin_007a1.spr	\image\item\other\orskin_007a0.spr	Dị bảo dùng kết thành xiêm y.		Nhiệm vụ		1	0	1		
Tơ tằm Côn Ngô	2	0	130	1	0	1												\image\item\other\orsilk_011a1.spr	\image\item\other\orsilk_011a0.spr	Dị bảo đặc sản ở Côn Ngô sơn dùng dệt may y phục.		Nhiệm vụ		1	0	1		
Bách Điểu Quần	2	0	131	1	0	1												\image\item\other\quest_037a1.spr	\image\item\other\quest_037a0.spr	Tương truyền vật phẩm Đường Minh Hoàng riêng tặng cho Dương Quý Phi.		Nhiệm vụ		1	0	1		
Đương Quy	2	0	132	1	0	1												\image\item\usable\medi_005a1.spr	\image\item\usable\medi_005a0.spr	Dược liệu quý hiếm, bổ huyết, có thể dùng chế biến thức ăn.		Nhiệm vụ		1	0	1		
Cẩm Xà	2	0	133	1	0	1												\image\item\other\orskin_003a1.spr	\image\item\other\orskin_003a0.spr	Có thể bào chế thành cao lương mỹ vị.		Nhiệm vụ		1	0	1		
Rắn hầm Đương Quy	2	0	134	1	0	1												\image\item\usable\edib_008a1.spr	\image\item\usable\edib_008a0.spr	Món ăn nổi tiếng ở Thành Đô, giúp bồi bổ huyết.		Nhiệm vụ		1	0	1		
Sư phụ mật hàm	2	0	135	1	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Nhấp chuột phải mở mật hàm có thể biết được lời dặn dò của sư phụ.		Nhiệm vụ	\script\item\random_pack.lua	1	0	0		
Tẩy Tủy đơn	2	0	136	1	0	1												\image\item\usable\rich_001a1.spr	\image\item\usable\rich_001a0.spr	Giúp hồi phục gân cốt<enter> <color=Gold>(Phân phối lại 5 điểm tiềm năng tùy ý)		Dược phẩm	\script\item\item_billing\xisuidan.lua	1	0	1		
